YYYY-MM-DDTHH:MM:SS,Scan,SourceName,ScanType,Frequency,Line,Az,El,Duration,SwitchingMode,PWV,Temp,Hum,Wind
2021-04-01T22:45:23,6330,WB947,on,230.538,12CO(2-1)U,+7.3,+79.3,121,TP,1.55,-2.4,31.6,6.2
2021-04-01T22:48:41,6332,WB947,on,230.538,12CO(2-1)L,+2.9,+79.3,122,TP,1.65,-2.4,32.3,7.2
2021-04-01T22:51:58,6334,WB947,on,230.538,12CO(2-1)U,-1.4,+79.4,124,TP,1.69,-2.4,32.4,6.1
2021-04-03T15:24:27,6854,PKS1057-79,on,227.103,vlbifreq7,+178.1,+13.4,87,TP,-1.00,4.2,6.7,5.9
2021-04-03T15:25:55,6855,PKS1057-79,on,227.103,vlbifreq7,+178.1,+13.4,83,TP,-1.00,4.6,6.2,9.8
2021-04-03T15:29:27,6858,PKS1057-79,on,227.103,vlbifreq7,+177.9,+13.4,87,TP,-1.00,5.1,5.6,8.7
2021-04-03T15:30:55,6859,PKS1057-79,on,227.103,vlbifreq7,+177.8,+13.4,81,TP,-1.00,3.9,5.7,6.6
2021-04-03T15:34:56,6864,J0522-3627,on,227.103,vlbifreq7,+122.4,+19.1,89,TP,-1.00,5.0,6.7,10.8
2021-04-03T15:36:25,6865,J0522-3627,on,227.103,vlbifreq7,+122.3,+19.3,81,TP,-1.00,4.2,7.0,5.9
2021-04-03T15:39:57,6870,J0522-3627,on,227.103,vlbifreq7,+122.1,+20.0,87,TP,-1.00,4.1,6.3,5.2
2021-04-03T15:41:25,6871,J0522-3627,on,227.103,vlbifreq7,+122.1,+20.3,81,TP,-1.00,4.2,6.0,8.9
2021-04-03T15:44:55,6876,J0522-3627,on,227.103,vlbifreq7,+121.9,+21.0,87,TP,-1.00,4.0,6.1,6.6
2021-04-03T15:46:23,6877,J0522-3627,on,227.103,vlbifreq7,+121.8,+21.3,81,TP,-1.00,4.9,6.6,9.5
2021-04-03T23:29:30,6916,J0522-3627,on,227.103,vlbifreq7,-121.6,+56.0,58,"WOB(80.0,1.0)",2.80,-0.8,33.0,3.8
2021-04-03T23:30:28,6917,J0522-3627,on,227.103,vlbifreq7,-121.5,+55.8,88,"WOB(80.0,1.0)",2.81,-0.8,32.9,3.2
2021-04-03T23:34:01,6922,J0522-3627,on,227.103,vlbifreq7,-121.3,+55.1,58,"WOB(80.0,1.0)",2.75,-0.8,31.9,3.5
2021-04-03T23:35:00,6923,J0522-3627,on,227.103,vlbifreq7,-121.2,+54.9,88,"WOB(80.0,1.0)",2.76,-0.9,32.0,2.8
2021-04-03T23:38:17,6928,J0522-3627,on,227.103,vlbifreq7,-121.0,+54.3,57,"WOB(80.0,1.0)",2.73,-0.8,30.6,2.9
2021-04-03T23:39:15,6929,J0522-3627,on,227.103,vlbifreq7,-120.9,+54.1,89,"WOB(80.0,1.0)",2.74,-0.8,30.7,2.8
2021-04-03T23:42:31,6934,J0522-3627,on,227.103,vlbifreq7,-120.7,+53.5,57,"WOB(80.0,1.0)",2.78,-1.0,30.7,3.0
2021-04-03T23:43:28,6935,J0522-3627,on,227.103,vlbifreq7,-120.6,+53.3,89,"WOB(80.0,1.0)",2.79,-1.4,31.4,2.9
2021-04-03T23:46:40,6940,J0522-3627,on,227.103,vlbifreq7,-120.4,+52.6,58,"WOB(80.0,1.0)",2.78,-1.5,31.6,3.0
2021-04-03T23:47:39,6941,J0522-3627,on,227.103,vlbifreq7,-120.4,+52.4,87,"WOB(80.0,1.0)",2.78,-1.4,31.2,3.2
2021-04-03T23:50:50,6946,J0522-3627,on,227.103,vlbifreq7,-120.2,+51.8,57,"WOB(80.0,1.0)",2.78,-1.7,32.3,2.6
2021-04-03T23:51:47,6947,J0522-3627,on,227.103,vlbifreq7,-120.2,+51.6,87,"WOB(80.0,1.0)",2.78,-1.8,33.0,2.8
2021-04-03T23:55:01,6952,J0522-3627,on,227.103,vlbifreq7,-120.0,+51.0,57,"WOB(80.0,1.0)",2.75,-1.7,32.5,2.5
2021-04-03T23:56:00,6953,J0522-3627,on,227.103,vlbifreq7,-120.0,+50.8,89,"WOB(80.0,1.0)",2.75,-1.5,31.8,2.7
2021-04-09T00:26:32,7820,IRC+10216,on,227.103,vlbifreq7,+17.5,+52.3,57,"WOB(60.0,0.5)",1.06,1.4,5.6,2.7
2021-04-09T00:35:02,7825,M87,on,227.103,vlbifreq7,+59.1,+30.1,59,"WOB(60.0,0.5)",1.00,1.6,5.0,3.4
2021-04-09T00:36:02,7826,M87,on,227.103,vlbifreq7,+59.0,+30.3,354,"WOB(60.0,0.5)",0.99,1.5,5.5,3.9
2021-04-09T00:49:33,7831,3C273,on,227.103,vlbifreq7,+66.8,+39.3,58,"WOB(60.0,0.5)",1.03,1.2,5.6,3.2
2021-04-09T00:50:31,7832,3C273,on,227.103,vlbifreq7,+66.6,+39.5,289,"WOB(60.0,0.5)",1.04,1.1,5.7,3.2
2021-04-09T00:57:01,7837,M87,on,227.103,vlbifreq7,+55.2,+34.4,59,"WOB(60.0,0.5)",1.04,0.5,6.6,3.7
2021-04-09T00:58:01,7838,M87,on,227.103,vlbifreq7,+55.0,+34.6,353,"WOB(60.0,0.5)",1.04,0.8,6.0,3.7
2021-04-09T01:05:15,7841,M87,on,227.103,vlbifreq7,+53.6,+35.9,58,"WOB(60.0,0.5)",1.09,1.2,4.9,3.7
2021-04-09T01:06:13,7842,M87,on,227.103,vlbifreq7,+53.5,+36.1,354,"WOB(60.0,0.5)",1.09,1.1,5.0,3.9
2021-04-09T01:17:29,7849,3C279,on,227.103,vlbifreq7,+75.7,+43.3,59,"WOB(80.0,1.0)",1.05,1.2,4.8,4.3
2021-04-09T01:18:29,7850,3C279,on,227.103,vlbifreq7,+75.6,+43.6,223,"WOB(80.0,1.0)",1.06,1.3,4.5,3.7
2021-04-09T01:24:02,7855,M87,on,227.103,vlbifreq7,+49.7,+39.4,59,"WOB(80.0,1.0)",1.05,0.7,5.3,3.9
2021-04-09T01:25:02,7856,M87,on,227.103,vlbifreq7,+49.5,+39.5,352,"WOB(80.0,1.0)",1.06,1.2,4.2,3.3
2021-04-09T01:32:17,7859,M87,on,227.103,vlbifreq7,+47.9,+40.8,58,"WOB(80.0,1.0)",1.02,1.2,4.3,2.8
2021-04-09T01:33:15,7860,M87,on,227.103,vlbifreq7,+47.7,+40.9,354,"WOB(80.0,1.0)",1.02,1.2,4.2,3.2
2021-04-09T01:47:00,7867,3C273,on,227.103,vlbifreq7,+54.6,+50.9,290,"WOB(60.0,0.5)",1.08,1.2,4.0,3.5
2021-04-09T01:53:38,7872,M87,on,227.103,vlbifreq7,+42.6,+44.3,59,"WOB(60.0,0.5)",1.11,1.1,4.0,3.4
2021-04-09T01:54:38,7873,M87,on,227.103,vlbifreq7,+42.3,+44.4,353,"WOB(60.0,0.5)",1.09,1.1,4.0,3.4
2021-04-09T02:01:55,7876,M87,on,227.103,vlbifreq7,+40.4,+45.5,57,"WOB(60.0,0.5)",1.10,1.2,3.9,2.9
2021-04-09T02:02:53,7877,M87,on,227.103,vlbifreq7,+40.1,+45.7,352,"WOB(60.0,0.5)",1.11,1.2,3.9,3.0
2021-04-09T02:14:33,7882,3C279,on,227.103,vlbifreq7,+64.9,+55.8,60,"WOB(60.0,0.5)",1.08,1.1,4.0,4.0
2021-04-09T02:15:33,7883,3C279,on,227.103,vlbifreq7,+64.7,+55.9,220,"WOB(60.0,0.5)",1.08,1.0,4.0,3.9
2021-04-09T02:20:59,7888,M87,on,227.103,vlbifreq7,+34.8,+48.2,57,"WOB(60.0,0.5)",1.09,0.9,4.0,3.8
2021-04-09T02:21:57,7889,M87,on,227.103,vlbifreq7,+34.5,+48.4,354,"WOB(60.0,0.5)",1.10,0.8,4.1,3.8
