2025.117.05:00:00;APEX Database Weather Data for Timerange of c251d
2025.117.05:00:00;The format is wx/temp[C],press[mbar],humid[%],speed[m/s],direction[deg],pwv[mm]
2025.117.05:01:00/wx/-2.50,554.4,8.0,4.32,341,0.57
2025.117.05:02:00/wx/-2.40,554.4,8.0,3.91,340,0.57
2025.117.05:03:00/wx/-2.30,554.4,7.6,4.43,340,0.57
2025.117.05:04:00/wx/-2.30,554.4,7.4,3.72,342,0.57
2025.117.05:05:00/wx/-2.25,554.4,7.3,3.46,334,0.57
2025.117.05:06:00/wx/-2.60,554.5,8.0,3.54,333,0.57
2025.117.05:07:00/wx/-2.53,554.4,8.2,4.10,342,0.57
2025.117.05:08:00/wx/-2.60,554.4,8.5,3.76,338,0.58
2025.117.05:09:00/wx/-2.61,554.4,8.4,3.85,335,0.57
2025.117.05:10:00/wx/-2.65,554.4,8.2,4.00,342,0.57
2025.117.05:11:00/wx/-3.50,554.4,9.4,3.72,331,0.57
2025.117.05:12:00/wx/-3.27,554.5,9.2,3.95,330,0.57
2025.117.05:13:00/wx/-3.11,554.4,9.2,4.45,340,0.57
2025.117.05:14:00/wx/-2.90,554.4,8.9,4.33,343,0.57
2025.117.05:15:00/wx/-2.70,554.4,8.5,4.13,339,0.58
2025.117.05:16:00/wx/-2.70,554.4,8.4,3.63,336,0.58
2025.117.05:17:00/wx/-2.90,554.3,8.5,3.85,331,0.58
2025.117.05:18:00/wx/-3.10,554.3,8.8,3.25,326,0.58
2025.117.05:19:00/wx/-3.58,554.3,9.7,4.41,346,0.57
2025.117.05:20:00/wx/-3.20,554.3,8.9,3.52,337,0.57
2025.117.05:21:00/wx/-3.20,554.3,8.8,4.53,344,0.57
2025.117.05:22:00/wx/-2.80,554.3,8.1,4.60,344,0.58
2025.117.05:23:00/wx/-2.81,554.3,8.5,4.00,353,0.58
2025.117.05:24:00/wx/-3.00,554.3,9.1,4.55,341,0.58
2025.117.05:25:00/wx/-3.10,554.3,9.2,4.52,341,0.58
2025.117.05:26:00/wx/-2.90,554.3,8.7,4.33,340,0.58
2025.117.05:27:00/wx/-2.80,554.3,8.4,4.18,347,0.59
2025.117.05:28:00/wx/-2.60,554.3,7.8,3.75,340,0.59
2025.117.05:29:00/wx/-3.25,554.3,8.5,4.37,344,0.59
2025.117.05:30:00/wx/-3.22,554.3,8.9,3.70,332,0.59
2025.117.05:31:00/wx/-4.50,554.3,10.6,3.53,319,0.60
2025.117.05:32:00/wx/-3.80,554.3,10.1,3.72,335,0.61
2025.117.05:33:00/wx/-3.30,554.3,9.1,3.82,334,0.61
2025.117.05:34:00/wx/-3.62,554.3,9.3,4.17,334,0.61
2025.117.05:35:00/wx/-3.20,554.3,8.9,3.85,338,0.60
2025.117.05:36:00/wx/-3.20,554.2,8.9,3.93,338,0.61
2025.117.05:37:00/wx/-3.20,554.3,9.0,3.99,336,0.60
2025.117.05:38:00/wx/-3.20,554.3,8.9,4.27,336,0.60
2025.117.05:39:00/wx/-2.93,554.2,8.6,4.10,335,0.61
2025.117.05:40:00/wx/-3.00,554.2,8.5,4.14,342,0.61
2025.117.05:41:00/wx/-3.10,554.2,8.9,4.23,340,0.62
2025.117.05:42:00/wx/-2.80,554.2,8.5,4.60,348,0.62
2025.117.05:43:00/wx/-2.80,554.2,8.3,4.51,338,0.63
2025.117.05:44:00/wx/-2.80,554.3,8.3,4.23,334,0.63
2025.117.05:45:00/wx/-2.60,554.3,7.9,4.18,345,0.63
2025.117.05:46:00/wx/-2.91,554.3,8.1,4.62,346,0.63
2025.117.05:47:00/wx/-2.70,554.2,8.0,4.14,346,0.64
2025.117.05:48:00/wx/-2.60,554.3,7.8,2.86,331,0.64
2025.117.05:49:00/wx/-2.72,554.3,8.1,4.16,335,0.65
2025.117.05:50:00/wx/-2.78,554.3,8.0,4.43,344,0.65
2025.117.05:51:00/wx/-2.90,554.2,8.4,4.73,341,0.65
2025.117.05:52:00/wx/-2.84,554.3,8.4,4.36,342,0.66
2025.117.05:53:00/wx/-2.80,554.2,8.2,4.23,343,0.66
