2025.118.01:00:00;APEX Database Weather Data for Timerange of c251z
2025.118.01:00:00;The format is wx/temp[C],press[mbar],humid[%],speed[m/s],direction[deg],pwv[mm]
2025.118.01:01:00/wx/-4.40,555.5,31.8,4.90,323,0.72
2025.118.01:02:00/wx/-4.42,555.5,32.0,4.46,334,0.72
2025.118.01:03:00/wx/-4.60,555.6,32.4,4.77,330,0.73
2025.118.01:04:00/wx/-4.50,555.6,32.6,4.51,324,0.74
2025.118.01:05:00/wx/-4.40,555.6,32.4,4.13,315,0.73
2025.118.01:06:00/wx/-4.40,555.6,32.3,4.46,323,0.73
2025.118.01:07:00/wx/-4.40,555.6,32.3,4.68,332,0.73
2025.118.01:08:00/wx/-4.40,555.6,32.3,4.93,328,0.73
2025.118.01:09:00/wx/-4.50,555.6,32.4,4.53,321,0.72
2025.118.01:10:00/wx/-4.60,555.6,32.5,4.81,326,0.72
2025.118.01:11:00/wx/-4.57,555.6,32.6,4.83,333,0.72
2025.118.01:12:00/wx/-4.42,555.6,32.5,4.87,334,0.72
2025.118.01:13:00/wx/-4.30,555.6,32.1,4.46,338,0.69
2025.118.01:14:00/wx/-4.20,555.6,31.9,4.63,330,0.70
2025.118.01:15:00/wx/-4.20,555.6,31.8,4.76,331,0.70
2025.118.01:16:00/wx/-4.40,555.6,32.0,5.23,338,0.70
2025.118.01:17:00/wx/-4.30,555.6,31.9,4.92,330,0.70
2025.118.01:18:00/wx/-4.30,555.6,31.7,4.60,332,0.68
2025.118.01:19:00/wx/-4.40,555.6,32.2,4.71,331,0.70
2025.118.01:20:00/wx/-4.30,555.6,31.9,4.43,337,0.69
2025.118.01:21:00/wx/-4.23,555.6,31.8,4.84,336,0.68
2025.118.01:22:00/wx/-4.40,555.6,32.3,4.79,331,0.68
2025.118.01:23:00/wx/-5.04,555.6,33.4,4.92,325,0.69
2025.118.01:24:00/wx/-4.74,555.6,33.6,4.46,337,0.68
2025.118.01:25:00/wx/-4.70,555.6,32.7,4.73,338,0.67
2025.118.01:26:00/wx/-4.76,555.6,33.0,5.02,338,0.67
2025.118.01:27:00/wx/-4.30,555.6,31.9,4.96,338,0.67
2025.118.01:28:00/wx/-4.20,555.6,31.2,5.03,337,0.68
2025.118.01:29:00/wx/-4.20,555.6,31.2,4.58,335,0.66
2025.118.01:30:00/wx/-4.30,555.6,31.6,4.83,337,0.68
2025.118.01:31:00/wx/-4.40,555.6,31.9,5.07,339,0.69
2025.118.01:32:00/wx/-4.40,555.6,31.7,5.28,338,0.69
2025.118.01:33:00/wx/-4.32,555.6,31.5,5.51,339,0.67
2025.118.01:34:00/wx/-4.13,555.6,31.0,5.38,343,0.68
2025.118.01:35:00/wx/-4.20,555.6,31.3,5.13,341,0.68
2025.118.01:36:00/wx/-4.08,555.6,31.2,4.75,339,0.66
2025.118.01:37:00/wx/-4.62,555.6,32.1,5.24,333,0.65
2025.118.01:38:00/wx/-4.50,555.6,32.1,5.35,333,0.65
2025.118.01:39:00/wx/-4.50,555.6,32.0,5.22,334,0.65
2025.118.01:40:00/wx/-4.60,555.6,32.1,4.52,329,0.65
2025.118.01:41:00/wx/-4.75,555.6,32.5,4.52,342,0.66
2025.118.01:42:00/wx/-5.11,555.6,32.8,5.31,343,0.67
2025.118.01:43:00/wx/-4.60,555.6,31.6,4.59,336,0.68
2025.118.01:44:00/wx/-4.54,555.6,31.6,4.51,341,0.66
2025.118.01:45:00/wx/-4.09,555.6,30.7,4.98,339,0.67
2025.118.01:46:00/wx/-4.33,555.6,30.4,4.33,336,0.65
2025.118.01:47:00/wx/-5.02,555.6,31.6,4.63,333,0.64
2025.118.01:48:00/wx/-4.27,555.5,30.4,5.25,326,0.64
2025.118.01:49:00/wx/-3.93,555.6,28.3,5.34,332,0.64
2025.118.01:50:00/wx/-3.89,555.6,27.3,5.85,328,0.60
2025.118.01:51:00/wx/-4.06,555.6,25.2,4.87,345,0.61
2025.118.01:52:00/wx/-4.09,555.6,24.2,5.45,336,0.61
2025.118.01:53:00/wx/-3.80,555.6,23.8,5.76,337,0.61
2025.118.01:54:00/wx/-4.05,555.6,24.0,5.86,336,0.60
2025.118.01:55:00/wx/-3.39,555.6,20.9,4.48,11,0.60
2025.118.01:56:00/wx/-3.55,555.6,21.7,5.07,346,0.60
2025.118.01:57:00/wx/-3.10,555.6,20.0,5.42,355,0.57
2025.118.01:58:00/wx/-3.13,555.5,19.8,4.53,339,0.56
2025.118.01:59:00/wx/-3.30,555.6,20.9,5.10,337,0.55
2025.118.02:00:00/wx/-3.51,555.5,21.8,5.06,349,0.58
2025.118.02:01:00/wx/-3.35,555.6,19.0,4.18,347,0.60
2025.118.02:02:00/wx/-3.92,555.6,18.2,5.04,351,0.62
2025.118.02:03:00/wx/-3.19,555.6,18.0,3.92,342,0.62
2025.118.02:04:00/wx/-3.02,555.6,17.4,4.50,337,0.57
2025.118.02:05:00/wx/-3.00,555.6,16.9,4.37,343,0.56
2025.118.02:06:00/wx/-3.20,555.6,16.6,4.70,332,0.57
2025.118.02:07:00/wx/-3.60,555.6,17.8,4.63,339,0.57
2025.118.02:08:00/wx/-3.23,555.6,16.2,5.14,324,0.57
2025.118.02:09:00/wx/-3.21,555.6,16.2,4.16,348,0.56
2025.118.02:10:00/wx/-2.98,555.6,14.7,3.87,335,0.56
2025.118.02:11:00/wx/-2.70,555.6,14.3,3.83,339,0.56
2025.118.02:12:00/wx/-2.70,555.6,14.2,3.63,340,0.57
2025.118.02:13:00/wx/-3.04,555.6,15.7,3.68,333,0.57
2025.118.02:14:00/wx/-3.10,555.6,15.0,3.74,323,0.57
2025.118.02:15:00/wx/-3.22,555.6,15.3,5.23,336,0.55
2025.118.02:16:00/wx/-3.10,555.6,14.0,4.52,339,0.57
2025.118.02:17:00/wx/-3.10,555.6,14.3,3.33,324,0.58
2025.118.02:18:00/wx/-3.41,555.6,14.5,4.28,334,0.56
2025.118.02:19:00/wx/-3.30,555.7,14.7,4.62,327,0.56
2025.118.02:20:00/wx/-3.21,555.7,15.3,5.11,342,0.56
2025.118.02:21:00/wx/-3.16,555.7,13.9,3.55,337,0.57
2025.118.02:22:00/wx/-3.20,555.7,14.3,3.23,330,0.57
2025.118.02:23:00/wx/-3.00,555.7,14.1,4.05,334,0.57
2025.118.02:24:00/wx/-3.10,555.7,14.8,3.84,334,0.56
2025.118.02:25:00/wx/-3.00,555.7,14.2,4.01,337,0.58
2025.118.02:26:00/wx/-3.10,555.7,13.9,4.18,331,0.57
2025.118.02:27:00/wx/-2.90,555.7,13.7,3.44,320,0.57
2025.118.02:28:00/wx/-2.80,555.7,13.1,4.15,327,0.56
2025.118.02:29:00/wx/-2.88,555.7,12.3,3.54,324,0.56
2025.118.02:30:00/wx/-3.00,555.6,12.3,3.43,329,0.55
2025.118.02:31:00/wx/-3.00,555.7,12.7,3.59,320,0.55
2025.118.02:32:00/wx/-3.01,555.6,12.5,3.81,322,0.57
2025.118.02:33:00/wx/-3.10,555.6,12.9,4.36,323,0.58
2025.118.02:34:00/wx/-3.10,555.6,13.2,3.73,320,0.57
2025.118.02:35:00/wx/-2.90,555.6,12.5,3.59,325,0.57
2025.118.02:36:00/wx/-3.28,555.6,13.3,3.65,323,0.56
2025.118.02:37:00/wx/-3.30,555.6,13.3,3.90,327,0.55
2025.118.02:38:00/wx/-3.20,555.6,12.8,3.96,324,0.57
2025.118.02:39:00/wx/-3.20,555.6,12.9,3.94,324,0.56
