2025.268.16:00:00;APEX Database Weather Data for Timerange of c252a
2025.268.16:00:00;The format is wx/temp[C],press[mbar],humid[%],speed[m/s],direction[deg],pwv[mm]
2025.268.16:01:00/wx/4.66,558.5,10.3,5.84,254,1.77
2025.268.16:02:00/wx/5.08,558.5,10.5,7.59,256,1.79
2025.268.16:03:00/wx/4.10,558.5,8.9,6.12,246,1.81
2025.268.16:04:00/wx/4.52,558.5,9.2,5.41,297,1.63
2025.268.16:05:00/wx/4.87,558.5,8.5,4.78,300,1.71
2025.268.16:06:00/wx/4.96,558.5,8.1,4.84,296,1.75
2025.268.16:07:00/wx/5.30,558.5,9.1,4.08,238,1.76
2025.268.16:08:00/wx/5.18,558.5,9.4,7.01,252,1.80
2025.268.16:09:00/wx/5.59,558.5,12.4,5.94,253,1.74
2025.268.16:10:00/wx/5.36,558.5,10.5,5.88,286,1.75
2025.268.16:11:00/wx/5.72,558.5,11.1,5.62,245,1.81
2025.268.16:12:00/wx/4.99,558.5,9.4,4.11,247,1.75
2025.268.16:13:00/wx/5.49,558.5,8.9,5.47,299,1.79
2025.268.16:14:00/wx/5.69,558.5,8.7,5.76,264,1.87
2025.268.16:15:00/wx/5.71,558.5,10.0,5.03,275,1.87
2025.268.16:16:00/wx/5.83,558.5,10.3,4.80,263,1.80
2025.268.16:17:00/wx/5.90,558.5,11.4,6.33,284,1.75
2025.268.16:18:00/wx/4.97,558.5,9.3,5.94,274,1.78
2025.268.16:19:00/wx/5.06,558.5,8.2,4.86,307,1.77
2025.268.16:20:00/wx/5.16,558.5,7.9,5.19,275,1.78
2025.268.16:21:00/wx/4.94,558.5,9.1,8.00,269,1.84
2025.268.16:22:00/wx/4.60,558.5,9.9,7.34,245,1.86
2025.268.16:23:00/wx/4.47,558.5,9.8,5.79,246,1.84
2025.268.16:24:00/wx/4.75,558.5,9.8,5.83,252,1.83
2025.268.16:25:00/wx/5.09,558.5,9.4,4.58,271,1.85
2025.268.16:26:00/wx/5.49,558.5,10.7,6.69,247,1.86
2025.268.16:27:00/wx/4.97,558.5,9.8,7.39,245,1.88
2025.268.16:28:00/wx/4.73,558.5,9.5,3.96,259,1.89
2025.268.16:29:00/wx/4.68,558.5,10.3,6.22,239,1.84
2025.268.16:30:00/wx/4.61,558.5,9.8,5.39,261,1.85
2025.268.16:31:00/wx/5.30,558.5,13.0,5.83,257,1.83
2025.268.16:32:00/wx/4.90,558.5,10.1,5.24,266,1.78
2025.268.16:33:00/wx/5.25,558.5,9.4,6.60,272,1.88
2025.268.16:34:00/wx/4.87,558.5,9.2,6.50,273,1.87
2025.268.16:35:00/wx/4.89,558.5,9.1,7.08,299,1.89
2025.268.16:36:00/wx/4.79,558.5,8.7,7.46,282,1.87
2025.268.16:37:00/wx/5.29,558.5,8.6,4.47,320,1.81
2025.268.16:38:00/wx/5.75,558.5,10.4,2.99,282,1.89
2025.268.16:39:00/wx/5.58,558.5,9.3,5.09,283,1.94
2025.268.16:40:00/wx/5.30,558.5,9.3,7.60,262,2.00
2025.268.16:41:00/wx/4.81,558.5,8.8,6.40,276,1.98
2025.268.16:42:00/wx/4.91,558.5,9.2,5.21,278,2.08
2025.268.16:43:00/wx/5.36,558.5,9.9,4.22,266,2.05
2025.268.16:44:00/wx/5.22,558.5,9.1,3.82,289,1.98
2025.268.16:45:00/wx/5.50,558.5,8.5,4.53,251,1.98
2025.268.16:46:00/wx/4.97,558.5,8.5,5.05,265,1.97
2025.268.16:47:00/wx/4.49,558.5,9.4,4.79,259,1.96
2025.268.16:48:00/wx/4.62,558.5,9.9,4.62,268,1.95
2025.268.16:49:00/wx/4.50,558.5,9.2,4.67,255,1.94
2025.268.16:50:00/wx/4.71,558.5,9.1,4.55,266,1.98
2025.268.16:51:00/wx/4.60,558.4,9.0,2.60,259,2.01
2025.268.16:52:00/wx/5.40,558.5,11.8,4.74,266,2.01
2025.268.16:53:00/wx/4.91,558.5,9.6,6.17,280,2.05
2025.268.16:54:00/wx/4.31,558.5,9.1,5.12,251,2.00
2025.268.16:55:00/wx/4.41,558.4,9.0,4.54,239,1.96
2025.268.16:56:00/wx/4.60,558.4,8.1,5.10,233,2.07
2025.268.16:57:00/wx/4.70,558.4,9.0,6.04,276,2.06
2025.268.16:58:00/wx/4.99,558.4,9.5,6.18,246,2.03
2025.268.16:59:00/wx/5.50,558.4,11.3,6.83,286,1.99
2025.268.17:00:00/wx/4.98,558.5,9.2,5.94,271,2.09
2025.268.17:01:00/wx/4.79,558.4,8.7,3.94,274,2.19
2025.268.17:02:00/wx/4.90,558.4,8.8,3.96,277,2.12
2025.268.17:03:00/wx/4.72,558.4,9.5,5.09,284,2.24
2025.268.17:04:00/wx/4.99,558.4,11.1,6.55,271,2.18
2025.268.17:05:00/wx/4.38,558.4,9.9,7.07,240,2.16
2025.268.17:06:00/wx/4.55,558.3,9.5,5.28,253,2.14
2025.268.17:07:00/wx/4.40,558.3,9.3,2.95,272,2.22
2025.268.17:08:00/wx/5.11,558.3,11.1,5.84,263,2.16
2025.268.17:09:00/wx/4.71,558.3,10.7,5.52,268,2.16
2025.268.17:10:00/wx/4.74,558.3,10.7,7.04,278,2.14
2025.268.17:11:00/wx/5.32,558.3,11.7,5.07,278,2.17
2025.268.17:12:00/wx/4.94,558.3,9.4,4.24,279,2.19
2025.268.17:13:00/wx/5.50,558.3,10.3,3.53,257,2.22
2025.268.17:14:00/wx/5.15,558.3,10.4,5.47,256,2.20
2025.268.17:15:00/wx/5.00,558.3,10.8,8.63,249,2.28
2025.268.17:16:00/wx/4.35,558.2,10.3,5.51,256,2.26
2025.268.17:17:00/wx/5.21,558.3,11.3,4.65,260,2.23
2025.268.17:18:00/wx/5.10,558.2,12.1,7.02,248,2.15
2025.268.17:19:00/wx/5.70,558.2,11.7,5.11,247,2.12
2025.268.17:20:00/wx/5.27,558.2,10.6,6.09,234,2.08
2025.268.17:21:00/wx/5.10,558.2,10.9,5.45,251,2.05
2025.268.17:22:00/wx/5.02,558.2,10.4,5.74,254,2.09
2025.268.17:23:00/wx/5.52,558.2,12.6,7.61,251,2.11
2025.268.17:24:00/wx/5.24,558.2,10.9,6.10,248,2.17
2025.268.17:25:00/wx/5.04,558.1,11.9,9.14,244,2.11
2025.268.17:26:00/wx/4.66,558.1,10.3,6.81,234,2.05
2025.268.17:27:00/wx/4.90,558.1,10.8,5.72,249,1.95
2025.268.17:28:00/wx/4.92,558.1,10.8,5.61,246,2.04
2025.268.17:29:00/wx/5.24,558.1,11.2,7.82,245,2.07
2025.268.17:30:00/wx/4.80,558.1,11.4,7.17,249,2.01
2025.268.17:31:00/wx/5.27,558.1,13.7,5.13,255,1.99
2025.268.17:32:00/wx/5.08,558.1,12.1,7.96,238,2.02
2025.268.17:33:00/wx/4.80,558.1,11.6,6.92,259,1.99
2025.268.17:34:00/wx/4.75,558.0,12.6,5.44,248,2.04
2025.268.17:35:00/wx/4.91,558.0,11.7,6.47,287,1.95
2025.268.17:36:00/wx/5.29,558.0,12.1,7.20,250,1.97
2025.268.17:37:00/wx/5.29,558.0,11.7,5.50,289,2.05
2025.268.17:38:00/wx/5.43,558.0,11.6,6.01,273,2.04
2025.268.17:39:00/wx/5.50,558.0,12.4,5.61,264,2.11
2025.268.17:40:00/wx/5.13,558.0,13.1,9.60,245,2.17
2025.268.17:41:00/wx/5.20,557.9,15.4,9.24,246,2.01
2025.268.17:42:00/wx/5.24,557.9,12.9,7.01,236,1.99
2025.268.17:43:00/wx/5.06,557.9,12.8,7.89,249,2.00
2025.268.17:44:00/wx/4.78,557.9,14.3,8.61,250,1.99
2025.268.17:45:00/wx/4.52,557.9,13.3,6.65,257,1.92
2025.268.17:46:00/wx/4.60,557.8,13.1,5.83,238,1.96
2025.268.17:47:00/wx/4.88,557.9,12.9,6.45,254,1.95
2025.268.17:48:00/wx/5.69,557.9,15.9,6.25,244,2.05
2025.268.17:49:00/wx/5.71,557.8,11.5,7.36,227,2.00
2025.268.17:50:00/wx/5.78,557.9,13.5,5.35,275,2.12
2025.268.17:51:00/wx/5.50,557.8,12.9,6.99,286,2.10
2025.268.17:52:00/wx/5.12,557.8,13.2,5.94,251,2.12
2025.268.17:53:00/wx/5.25,557.8,14.1,8.42,258,2.09
2025.268.17:54:00/wx/4.60,557.8,12.9,5.14,274,2.10
2025.268.17:55:00/wx/4.89,557.8,12.5,8.61,240,2.04
2025.268.17:56:00/wx/4.78,557.8,12.7,7.33,249,2.02
2025.268.17:57:00/wx/5.10,557.8,13.5,6.31,251,2.22
2025.268.17:58:00/wx/5.83,557.8,16.6,6.94,244,2.33
2025.268.17:59:00/wx/5.42,557.8,14.7,9.96,248,2.40
2025.268.18:00:00/wx/4.50,557.8,12.7,8.02,239,2.40
2025.268.18:01:00/wx/4.40,557.8,13.1,7.50,254,2.40
2025.268.18:02:00/wx/4.93,557.8,13.8,5.96,247,2.26
2025.268.18:03:00/wx/5.57,557.8,14.6,7.64,253,2.32
2025.268.18:04:00/wx/5.48,557.8,14.4,6.94,252,2.35
2025.268.18:05:00/wx/5.80,557.8,16.1,4.45,275,2.35
2025.268.18:06:00/wx/5.05,557.8,13.9,7.63,250,2.28
2025.268.18:07:00/wx/5.11,557.8,14.2,7.92,284,2.26
2025.268.18:08:00/wx/5.24,557.7,13.0,5.81,267,2.28
2025.268.18:09:00/wx/5.52,557.7,13.7,7.97,246,1.99
2025.268.18:10:00/wx/5.35,557.7,13.9,8.79,243,2.02
2025.268.18:11:00/wx/4.66,557.7,13.3,8.37,254,2.08
2025.268.18:12:00/wx/4.39,557.7,13.5,8.83,247,2.05
2025.268.18:13:00/wx/4.58,557.7,13.2,6.38,253,2.13
2025.268.18:14:00/wx/4.80,557.7,13.2,8.32,237,2.20
2025.268.18:15:00/wx/4.90,557.7,12.8,7.85,247,2.24
2025.268.18:16:00/wx/4.83,557.7,12.4,7.00,248,2.17
2025.268.18:17:00/wx/5.04,557.7,13.7,6.06,264,2.17
2025.268.18:18:00/wx/4.61,557.7,12.1,7.53,248,2.10
2025.268.18:19:00/wx/4.70,557.7,11.7,5.30,282,2.13
2025.268.18:20:00/wx/4.81,557.7,12.1,9.90,280,2.10
2025.268.18:21:00/wx/4.56,557.7,11.8,6.72,258,2.23
2025.268.18:22:00/wx/4.20,557.7,12.4,6.13,241,2.13
2025.268.18:23:00/wx/4.70,557.7,13.1,4.38,265,2.12
2025.268.18:24:00/wx/4.29,557.7,11.3,9.29,284,2.20
2025.268.18:25:00/wx/4.34,557.6,11.9,4.29,259,2.13
2025.268.18:26:00/wx/4.83,557.7,11.7,6.40,265,2.12
2025.268.18:27:00/wx/4.60,557.6,12.5,5.95,255,2.15
2025.268.18:28:00/wx/4.10,557.7,11.4,4.03,276,2.28
2025.268.18:29:00/wx/4.43,557.6,11.9,7.37,245,2.21
2025.268.18:30:00/wx/4.85,557.6,12.3,4.15,266,2.17
2025.268.18:31:00/wx/4.47,557.6,11.7,6.42,258,2.25
2025.268.18:32:00/wx/4.70,557.6,13.0,7.79,253,2.30
2025.268.18:33:00/wx/5.00,557.6,13.5,8.86,279,2.24
2025.268.18:34:00/wx/4.79,557.6,11.5,8.67,280,2.28
2025.268.18:35:00/wx/4.81,557.6,11.2,6.19,280,2.40
2025.268.18:36:00/wx/4.96,557.5,12.2,5.63,278,2.31
2025.268.18:37:00/wx/4.29,557.5,11.9,5.01,247,2.26
2025.268.18:38:00/wx/4.37,557.5,12.5,7.12,250,2.16
2025.268.18:39:00/wx/4.24,557.5,12.0,5.55,272,2.22
2025.268.18:40:00/wx/4.45,557.5,12.4,9.14,244,2.24
2025.268.18:41:00/wx/4.12,557.5,11.8,5.49,253,2.23
2025.268.18:42:00/wx/4.40,557.5,13.0,6.72,246,2.11
2025.268.18:43:00/wx/4.76,557.5,13.5,9.17,247,2.05
2025.268.18:44:00/wx/4.24,557.4,11.4,5.80,246,2.27
2025.268.18:45:00/wx/4.45,557.5,12.9,7.69,261,2.25
2025.268.18:46:00/wx/3.81,557.4,11.4,7.93,252,2.26
2025.268.18:47:00/wx/4.01,557.4,12.3,6.05,253,2.20
2025.268.18:48:00/wx/4.20,557.4,11.2,5.45,273,2.23
2025.268.18:49:00/wx/4.23,557.4,10.6,5.88,282,2.16
