2025.270.16:00:00;APEX Database Weather Data for Timerange of c252c
2025.270.16:00:00;The format is wx/temp[C],press[mbar],humid[%],speed[m/s],direction[deg],pwv[mm]
2025.270.16:01:00/wx/1.27,555.8,8.8,7.24,239,0.54
2025.270.16:02:00/wx/1.26,555.8,7.4,6.82,232,0.61
2025.270.16:03:00/wx/2.40,555.8,8.2,6.94,247,0.63
2025.270.16:04:00/wx/1.50,555.8,8.3,4.33,258,0.65
2025.270.16:05:00/wx/1.08,555.8,7.0,6.37,235,0.58
2025.270.16:06:00/wx/0.93,555.8,7.2,7.96,239,0.53
2025.270.16:07:00/wx/0.73,555.7,6.8,4.86,250,0.63
2025.270.16:08:00/wx/0.79,555.8,8.5,8.09,242,0.63
2025.270.16:09:00/wx/0.60,555.7,9.0,8.28,243,0.61
2025.270.16:10:00/wx/0.84,555.8,7.1,4.85,218,0.52
2025.270.16:11:00/wx/0.50,555.8,8.0,4.43,254,0.51
2025.270.16:12:00/wx/0.27,555.7,7.4,3.12,226,0.54
2025.270.16:13:00/wx/0.51,555.7,6.9,4.26,238,0.54
2025.270.16:14:00/wx/1.24,555.7,7.3,2.56,271,0.54
2025.270.16:15:00/wx/1.25,555.8,8.4,6.23,252,0.56
2025.270.16:16:00/wx/0.63,555.8,8.1,4.67,263,0.49
2025.270.16:17:00/wx/1.30,555.7,9.3,6.84,251,0.50
2025.270.16:18:00/wx/0.97,555.7,7.0,6.62,246,0.56
2025.270.16:19:00/wx/1.28,555.7,8.1,3.54,266,0.57
2025.270.16:20:00/wx/0.83,555.8,8.1,5.86,256,0.57
2025.270.16:21:00/wx/0.20,555.7,8.1,5.66,254,0.58
2025.270.16:22:00/wx/0.63,555.7,8.6,5.17,254,0.53
2025.270.16:23:00/wx/0.96,555.7,9.2,5.20,239,0.53
2025.270.16:24:00/wx/1.20,555.7,7.1,6.32,232,0.57
2025.270.16:25:00/wx/1.72,555.7,7.3,4.11,253,0.56
2025.270.16:26:00/wx/1.00,555.8,7.2,4.23,278,0.60
2025.270.16:27:00/wx/0.70,555.7,7.4,4.15,266,0.65
2025.270.16:28:00/wx/1.05,555.7,7.5,6.40,247,0.62
2025.270.16:29:00/wx/0.90,555.7,8.1,5.81,254,0.58
2025.270.16:30:00/wx/0.71,555.7,8.1,4.08,267,0.52
2025.270.16:31:00/wx/1.11,555.7,7.7,5.96,254,0.52
2025.270.16:32:00/wx/1.15,555.7,9.4,7.31,253,0.52
2025.270.16:33:00/wx/1.00,555.7,9.3,6.51,262,0.61
2025.270.16:34:00/wx/0.77,555.7,8.4,9.04,293,0.68
2025.270.16:35:00/wx/0.71,555.7,7.8,4.07,296,0.67
2025.270.16:36:00/wx/0.89,555.7,8.6,5.75,257,0.61
2025.270.16:37:00/wx/0.63,555.7,9.2,8.21,247,0.56
2025.270.16:38:00/wx/0.42,555.7,8.7,5.74,253,0.57
2025.270.16:39:00/wx/1.18,555.7,8.8,7.71,301,0.55
2025.270.16:40:00/wx/0.80,555.6,7.3,7.93,294,0.62
2025.270.16:41:00/wx/0.80,555.7,8.3,5.13,276,0.69
2025.270.16:42:00/wx/1.06,555.7,9.3,8.04,272,0.69
2025.270.16:43:00/wx/1.04,555.7,9.5,7.00,251,0.55
2025.270.16:44:00/wx/0.41,555.6,8.4,1.76,256,0.53
2025.270.16:45:00/wx/0.64,555.6,8.4,4.61,302,0.61
2025.270.16:46:00/wx/1.48,555.7,9.5,7.10,276,0.63
2025.270.16:47:00/wx/0.55,555.7,9.5,7.31,254,0.67
2025.270.16:48:00/wx/0.60,555.7,11.1,5.84,272,0.68
2025.270.16:49:00/wx/0.70,555.6,9.2,5.33,280,0.63
2025.270.16:50:00/wx/0.51,555.6,7.8,4.99,246,0.66
2025.270.16:51:00/wx/0.95,555.6,7.4,6.02,289,0.64
2025.270.16:52:00/wx/1.39,555.7,7.6,6.32,255,0.63
2025.270.16:53:00/wx/0.66,555.7,6.4,4.01,254,0.63
2025.270.16:54:00/wx/0.70,555.6,6.8,2.83,242,0.61
2025.270.16:55:00/wx/1.07,555.7,7.8,8.69,226,0.67
2025.270.16:56:00/wx/1.15,555.7,10.3,6.71,258,0.71
2025.270.16:57:00/wx/0.66,555.6,9.2,6.29,229,0.63
2025.270.16:58:00/wx/0.99,555.6,8.4,4.79,290,0.66
2025.270.16:59:00/wx/1.10,555.6,9.8,8.79,240,0.63
2025.270.17:00:00/wx/0.90,555.7,10.0,4.43,251,0.57
2025.270.17:01:00/wx/1.29,555.6,9.8,5.02,240,0.62
2025.270.17:02:00/wx/1.17,555.6,9.4,3.16,254,0.62
2025.270.17:03:00/wx/1.40,555.6,10.7,5.02,270,0.61
2025.270.17:04:00/wx/0.90,555.6,10.8,7.61,280,0.71
2025.270.17:05:00/wx/0.65,555.6,11.0,3.59,287,0.73
