2025.094.03:46:00;APEX Database Weather Data for Timerange of e25c04
2025.094.03:46:00;The format is wx/temp[C],press[mbar],humid[%],speed[m/s],direction[deg],pwv[mm]
2025.094.03:47:00/wx/0.50,557.1,33.8,3.38,333,1.55
2025.094.03:48:00/wx/0.44,557.1,33.8,3.13,330,1.54
2025.094.03:49:00/wx/0.30,557.1,34.2,2.94,327,1.47
2025.094.03:50:00/wx/-0.02,557.1,34.7,3.72,326,1.41
2025.094.03:51:00/wx/0.29,557.1,34.0,3.05,334,1.36
2025.094.03:52:00/wx/0.40,557.1,33.5,3.88,331,1.35
2025.094.03:53:00/wx/0.30,557.1,34.1,3.58,336,1.33
2025.094.03:54:00/wx/0.20,557.1,34.4,3.47,331,1.43
2025.094.03:55:00/wx/0.30,557.2,34.6,3.50,337,1.46
2025.094.03:56:00/wx/0.40,557.1,33.9,3.83,332,1.50
2025.094.03:57:00/wx/0.30,557.1,34.7,3.64,345,1.53
2025.094.03:58:00/wx/0.29,557.1,35.2,3.52,348,1.53
2025.094.03:59:00/wx/0.10,557.1,35.4,3.02,332,1.55
2025.094.04:00:00/wx/0.30,557.1,35.5,3.06,341,1.49
2025.094.04:01:00/wx/0.30,557.1,35.9,4.01,335,1.42
2025.094.04:02:00/wx/0.20,557.1,35.9,3.09,330,1.43
2025.094.04:03:00/wx/0.20,557.1,36.2,3.64,338,1.42
2025.094.04:04:00/wx/0.20,557.1,36.5,3.64,337,1.43
2025.094.04:05:00/wx/0.24,557.1,36.7,4.40,347,1.45
2025.094.04:06:00/wx/0.40,557.1,36.9,3.45,346,1.48
2025.094.04:07:00/wx/0.06,557.1,37.3,3.80,350,1.52
2025.094.04:08:00/wx/0.07,557.1,37.6,3.56,332,1.52
2025.094.04:09:00/wx/0.21,557.1,36.7,3.43,332,1.52
2025.094.04:10:00/wx/-0.03,557.1,36.7,4.05,331,1.53
2025.094.04:11:00/wx/0.21,557.1,37.1,3.33,338,1.53
2025.094.04:12:00/wx/0.24,557.1,37.8,3.20,331,1.52
2025.094.04:13:00/wx/0.23,557.1,37.7,3.45,335,1.50
2025.094.04:14:00/wx/0.20,557.1,37.6,4.10,340,1.48
2025.094.04:15:00/wx/0.36,557.1,37.0,3.88,337,1.50
2025.094.04:16:00/wx/0.40,557.1,37.1,3.83,340,1.48
2025.094.04:17:00/wx/0.40,557.1,38.2,4.44,347,1.51
2025.094.04:18:00/wx/0.03,557.1,38.7,3.54,349,1.49
2025.094.04:19:00/wx/-0.75,557.0,40.1,3.71,357,1.58
2025.094.04:20:00/wx/-0.15,557.1,40.1,4.47,340,1.60
2025.094.04:21:00/wx/-0.90,557.1,40.0,2.53,334,1.59
2025.094.04:22:00/wx/-1.23,557.0,42.7,4.26,345,1.64
2025.094.04:23:00/wx/-0.42,557.0,40.9,4.15,348,1.59
2025.094.04:24:00/wx/-0.09,557.0,38.9,3.81,343,1.44
2025.094.04:25:00/wx/-0.06,557.0,38.9,4.04,349,1.46
2025.094.04:26:00/wx/0.00,557.1,39.7,3.84,347,1.46
2025.094.04:27:00/wx/0.16,557.0,38.9,3.91,342,1.46
2025.094.04:28:00/wx/0.20,557.0,38.6,4.28,345,1.48
2025.094.04:29:00/wx/0.30,557.0,38.6,4.19,346,1.50
2025.094.04:30:00/wx/0.33,557.1,38.4,3.99,343,1.50
2025.094.04:31:00/wx/0.20,557.0,38.6,4.43,345,1.49
2025.094.04:32:00/wx/0.30,557.0,38.9,3.49,338,1.51
2025.094.04:33:00/wx/0.30,557.0,38.8,3.45,342,1.50
2025.094.04:34:00/wx/0.30,557.0,39.0,3.44,340,1.50
2025.094.04:35:00/wx/0.23,557.0,39.1,3.31,340,1.52
2025.094.04:36:00/wx/0.30,557.0,39.6,3.94,337,1.51
2025.094.04:37:00/wx/0.30,557.0,39.4,3.80,336,1.52
2025.094.04:38:00/wx/0.12,557.0,39.9,3.78,351,1.52
2025.094.04:39:00/wx/0.02,557.0,40.3,3.85,341,1.51
2025.094.04:40:00/wx/0.20,557.0,40.2,3.93,336,1.51
2025.094.04:41:00/wx/0.40,557.0,39.6,3.18,327,1.49
2025.094.04:42:00/wx/0.15,557.0,39.5,3.53,316,1.49
2025.094.04:43:00/wx/0.30,557.0,39.7,3.34,333,1.50
2025.094.04:44:00/wx/0.26,556.9,39.2,3.53,336,1.50
2025.094.04:45:00/wx/0.20,556.9,39.4,3.33,334,1.48
2025.094.04:46:00/wx/0.09,557.0,39.7,3.84,342,1.43
2025.094.04:47:00/wx/0.00,557.0,40.2,3.89,326,1.46
2025.094.04:48:00/wx/0.09,556.9,39.8,3.94,330,1.47
2025.094.04:49:00/wx/0.18,556.9,39.9,3.91,341,1.45
2025.094.04:50:00/wx/-0.01,556.9,40.5,3.88,338,1.45
2025.094.04:51:00/wx/-0.11,556.9,40.3,4.16,335,1.43
2025.094.04:52:00/wx/0.16,556.9,40.2,3.57,332,1.44
2025.094.04:53:00/wx/0.20,556.9,39.8,4.03,337,1.60
2025.094.04:54:00/wx/-0.03,556.9,40.1,4.00,337,1.48
2025.094.04:55:00/wx/-0.48,556.9,40.9,3.91,341,1.49
2025.094.04:56:00/wx/-0.59,556.9,40.9,4.06,339,1.47
2025.094.04:57:00/wx/-0.35,556.9,41.1,4.30,348,1.54
2025.094.04:58:00/wx/-0.30,556.9,41.0,4.53,344,1.57
2025.094.04:59:00/wx/0.03,556.9,40.7,4.64,345,1.55
2025.094.05:00:00/wx/0.21,556.9,40.3,4.24,352,1.53
2025.094.05:01:00/wx/-0.20,556.9,41.1,4.15,352,1.50
2025.094.05:02:00/wx/-0.36,556.9,41.9,4.63,342,1.50
2025.094.05:03:00/wx/-0.10,556.8,41.1,4.67,348,1.49
2025.094.05:04:00/wx/0.00,556.8,40.8,3.60,343,1.52
2025.094.05:05:00/wx/0.08,556.9,40.6,4.29,344,1.51
2025.094.05:06:00/wx/0.00,556.8,40.5,4.05,347,1.51
2025.094.05:07:00/wx/-0.05,556.8,40.9,4.39,353,1.51
2025.094.05:08:00/wx/0.19,556.8,40.3,3.57,358,1.48
2025.094.05:09:00/wx/-0.23,556.9,40.0,3.20,333,1.47
2025.094.05:10:00/wx/-0.50,556.9,42.2,3.96,342,1.49
2025.094.05:11:00/wx/-0.29,556.8,42.0,3.97,342,1.52
2025.094.05:12:00/wx/0.11,556.8,41.0,3.61,342,1.54
2025.094.05:13:00/wx/0.00,556.8,41.1,3.85,340,1.58
2025.094.05:14:00/wx/0.00,556.8,40.9,3.47,347,1.57
2025.094.05:15:00/wx/-0.02,556.8,41.1,4.06,342,1.58
2025.094.05:16:00/wx/-0.01,556.8,41.3,3.73,344,1.56
2025.094.05:17:00/wx/-0.10,556.8,41.3,3.78,345,1.54
2025.094.05:18:00/wx/0.00,556.8,41.0,3.63,342,1.60
2025.094.05:19:00/wx/0.00,556.8,41.1,3.93,344,1.65
2025.094.05:20:00/wx/-0.12,556.8,41.5,4.03,346,1.65
2025.094.05:21:00/wx/-0.11,556.8,41.4,4.09,345,1.63
2025.094.05:22:00/wx/-0.45,556.8,42.3,4.39,352,1.66
2025.094.05:23:00/wx/0.10,556.8,41.8,4.13,353,1.64
2025.094.05:24:00/wx/-0.01,556.8,41.5,4.24,349,1.64
2025.094.05:25:00/wx/-0.28,556.8,41.9,4.44,339,1.68
2025.094.05:26:00/wx/-0.50,556.7,43.1,4.13,346,1.71
2025.094.05:27:00/wx/-0.50,556.7,42.9,4.38,349,1.69
2025.094.05:28:00/wx/-0.30,556.8,43.0,4.13,352,1.85
2025.094.05:29:00/wx/-0.20,556.7,42.6,4.27,344,1.88
2025.094.05:30:00/wx/-0.29,556.7,42.8,3.70,352,1.84
2025.094.05:31:00/wx/-0.61,556.7,43.8,3.99,344,1.86
2025.094.05:32:00/wx/-0.54,556.7,43.8,3.91,346,1.80
2025.094.05:33:00/wx/-0.90,556.7,44.0,3.93,350,1.81
2025.094.05:34:00/wx/-0.60,556.7,44.2,3.55,348,1.83
2025.094.05:35:00/wx/-0.89,556.7,44.0,4.53,352,1.82
2025.094.05:36:00/wx/-0.60,556.7,43.9,3.53,342,1.96
2025.094.05:37:00/wx/-0.46,556.7,43.2,3.38,348,1.83
2025.094.05:38:00/wx/-0.40,556.7,43.5,3.73,344,1.90
2025.094.05:39:00/wx/-0.30,556.7,43.5,3.74,345,1.83
2025.094.05:40:00/wx/-0.30,556.7,43.2,3.43,340,1.88
2025.094.05:41:00/wx/-0.39,556.7,43.6,3.62,344,1.89
2025.094.05:42:00/wx/-0.30,556.7,43.4,3.65,339,1.83
