2025.098.18:27:00;APEX Database Weather Data for Timerange of e25e09
2025.098.18:27:00;The format is wx/temp[C],press[mbar],humid[%],speed[m/s],direction[deg],pwv[mm]
2025.098.18:28:00/wx/2.58,555.1,9.0,11.63,281,0.64
2025.098.18:29:00/wx/1.34,555.1,10.9,4.86,272,0.82
2025.098.18:30:00/wx/1.88,555.1,12.2,12.55,290,0.95
2025.098.18:31:00/wx/1.43,555.2,15.4,10.90,285,1.01
2025.098.18:32:00/wx/1.58,555.1,16.4,7.09,273,1.08
2025.098.18:33:00/wx/1.30,555.1,17.9,6.03,291,1.15
2025.098.18:34:00/wx/1.24,555.1,17.9,5.40,276,1.12
2025.098.18:35:00/wx/2.48,555.1,16.7,5.48,277,1.29
2025.098.18:36:00/wx/2.40,555.0,16.5,6.28,256,1.32
2025.098.18:37:00/wx/1.84,555.1,15.7,10.42,278,1.31
2025.098.18:38:00/wx/1.60,555.1,14.6,8.52,254,1.38
2025.098.18:39:00/wx/2.12,555.1,11.8,8.90,278,1.26
2025.098.18:40:00/wx/1.84,555.1,11.9,11.67,280,1.31
2025.098.18:41:00/wx/1.69,555.1,14.0,8.31,282,1.25
2025.098.18:42:00/wx/1.34,555.2,14.0,6.65,272,1.21
2025.098.18:43:00/wx/0.90,555.1,15.9,5.83,270,1.22
2025.098.18:44:00/wx/0.79,555.0,17.6,6.15,265,1.25
2025.098.18:45:00/wx/1.19,555.0,18.7,5.29,267,1.46
2025.098.18:46:00/wx/1.65,555.0,16.2,9.58,235,1.51
2025.098.18:47:00/wx/0.90,555.0,16.1,6.80,262,0.98
2025.098.18:48:00/wx/1.59,555.0,13.9,10.47,245,1.18
2025.098.18:49:00/wx/2.06,555.0,13.3,9.83,258,1.06
2025.098.18:50:00/wx/1.42,555.0,13.2,10.00,242,1.16
2025.098.18:51:00/wx/1.02,555.0,10.5,8.92,251,0.80
2025.098.18:52:00/wx/1.45,555.0,13.8,9.06,273,1.17
2025.098.18:53:00/wx/0.80,555.0,15.3,8.78,285,1.19
2025.098.18:54:00/wx/1.37,555.0,15.8,7.49,255,0.90
2025.098.18:55:00/wx/1.82,555.0,13.1,10.15,239,1.09
2025.098.18:56:00/wx/1.55,555.0,11.9,9.41,244,1.22
2025.098.18:57:00/wx/1.86,555.0,10.2,9.44,249,1.10
2025.098.18:58:00/wx/2.51,555.1,10.1,8.26,280,1.05
2025.098.18:59:00/wx/1.45,555.0,11.2,7.18,282,1.13
2025.098.19:00:00/wx/1.62,555.1,12.4,6.91,281,1.05
2025.098.19:01:00/wx/1.20,555.0,13.9,6.19,283,1.14
2025.098.19:02:00/wx/1.69,555.0,14.1,7.19,254,1.05
2025.098.19:03:00/wx/1.77,555.0,13.4,8.04,234,1.21
2025.098.19:04:00/wx/1.76,555.0,13.2,11.95,243,1.03
2025.098.19:05:00/wx/1.30,555.0,15.0,8.23,249,1.11
2025.098.19:06:00/wx/1.36,555.0,14.8,9.03,258,1.13
2025.098.19:07:00/wx/1.52,555.0,14.7,12.32,243,1.09
2025.098.19:08:00/wx/1.02,555.0,15.0,7.11,255,1.25
2025.098.19:09:00/wx/1.00,555.0,13.3,6.20,258,1.18
2025.098.19:10:00/wx/1.50,555.0,14.8,7.62,255,0.91
2025.098.19:11:00/wx/1.39,554.9,16.6,7.42,245,0.97
2025.098.19:12:00/wx/1.78,554.9,18.2,14.26,248,1.03
2025.098.19:13:00/wx/1.20,554.9,18.7,11.26,242,1.03
2025.098.19:14:00/wx/1.93,555.0,18.3,13.40,248,1.07
2025.098.19:15:00/wx/0.60,554.9,21.6,12.33,250,1.32
2025.098.19:16:00/wx/0.70,554.9,22.6,9.47,255,1.44
2025.098.19:17:00/wx/0.65,555.0,22.6,8.27,259,1.45
2025.098.19:18:00/wx/0.20,554.8,23.3,4.33,289,1.45
2025.098.19:19:00/wx/0.95,554.9,22.3,8.64,252,1.44
2025.098.19:20:00/wx/1.11,554.8,21.5,10.69,232,1.56
2025.098.19:21:00/wx/1.85,554.9,21.1,11.73,250,1.69
2025.098.19:22:00/wx/1.33,554.9,20.8,10.45,259,1.61
2025.098.19:23:00/wx/1.97,554.9,20.5,13.22,247,1.36
2025.098.19:24:00/wx/0.80,554.9,21.1,10.69,243,1.27
2025.098.19:25:00/wx/0.71,554.9,22.6,8.02,255,1.31
2025.098.19:26:00/wx/0.67,554.9,20.9,8.16,265,1.26
2025.098.19:27:00/wx/0.74,554.9,20.4,8.69,256,1.25
2025.098.19:28:00/wx/0.99,554.8,17.8,14.79,240,1.32
2025.098.19:29:00/wx/1.48,554.8,15.2,9.60,253,1.04
2025.098.19:30:00/wx/1.95,554.9,12.5,13.05,249,1.03
2025.098.19:31:00/wx/2.16,554.9,11.5,8.22,263,1.11
