2025.097.22:37:00;APEX Database Weather Data for Timerange of e25f08
2025.097.22:37:00;The format is wx/temp[C],press[mbar],humid[%],speed[m/s],direction[deg],pwv[mm]
2025.097.22:38:00/wx/-0.70,555.0,32.0,7.41,256,1.97
2025.097.22:39:00/wx/-0.70,555.0,32.5,7.06,258,2.06
2025.097.22:40:00/wx/-0.70,555.0,32.6,5.75,266,2.00
2025.097.22:41:00/wx/-0.70,555.0,33.3,6.04,253,2.04
2025.097.22:42:00/wx/-0.80,555.0,33.4,8.01,252,2.12
2025.097.22:43:00/wx/-0.84,555.0,34.2,7.02,258,2.11
2025.097.22:44:00/wx/-0.90,555.0,34.7,5.01,270,2.14
2025.097.22:45:00/wx/-0.80,555.0,37.5,5.85,265,2.17
2025.097.22:46:00/wx/-0.68,555.0,37.4,6.44,247,2.19
2025.097.22:47:00/wx/-0.90,555.0,37.6,7.12,256,2.25
2025.097.22:48:00/wx/-0.80,555.0,37.4,5.50,262,2.25
2025.097.22:49:00/wx/-1.00,555.0,37.2,6.38,260,2.30
2025.097.22:50:00/wx/-0.90,555.0,36.4,4.95,269,2.36
2025.097.22:51:00/wx/-1.00,555.0,36.1,6.01,254,2.37
2025.097.22:52:00/wx/-1.10,555.0,36.5,5.45,255,2.32
2025.097.22:53:00/wx/-1.30,555.0,36.8,4.78,258,2.38
2025.097.22:54:00/wx/-1.20,555.0,37.3,7.32,250,2.29
2025.097.22:55:00/wx/-1.18,555.0,37.3,8.27,255,2.33
2025.097.22:56:00/wx/-1.00,555.0,36.7,4.89,264,2.32
2025.097.22:57:00/wx/-1.11,555.0,37.1,4.38,261,2.15
2025.097.22:58:00/wx/-1.00,555.0,38.9,4.96,264,1.84
2025.097.22:59:00/wx/-1.40,555.0,39.3,4.27,277,1.78
2025.097.23:00:00/wx/-1.30,555.1,37.5,4.68,264,1.72
2025.097.23:01:00/wx/-1.30,555.1,37.4,4.43,252,1.72
2025.097.23:02:00/wx/-1.20,555.1,36.9,5.23,257,1.68
2025.097.23:03:00/wx/-1.20,555.1,35.0,5.90,255,1.66
2025.097.23:04:00/wx/-1.20,555.1,33.6,6.53,252,1.66
2025.097.23:05:00/wx/-1.28,555.1,33.2,5.32,261,1.69
2025.097.23:06:00/wx/-1.30,555.1,32.5,5.75,253,1.70
2025.097.23:07:00/wx/-1.40,555.1,31.0,7.01,250,1.73
2025.097.23:08:00/wx/-1.40,555.1,30.3,5.34,254,1.75
2025.097.23:09:00/wx/-1.60,555.1,30.7,4.63,270,1.78
2025.097.23:10:00/wx/-1.50,555.1,30.7,5.13,257,1.75
2025.097.23:11:00/wx/-1.50,555.1,30.7,6.21,251,1.78
2025.097.23:12:00/wx/-1.30,555.2,30.3,3.85,266,1.73
2025.097.23:13:00/wx/-1.36,555.2,30.2,4.04,263,1.76
2025.097.23:14:00/wx/-1.60,555.1,30.6,4.33,264,1.78
2025.097.23:15:00/wx/-1.70,555.2,31.3,4.30,258,1.74
2025.097.23:16:00/wx/-1.79,555.2,32.1,3.60,265,1.73
2025.097.23:17:00/wx/-1.80,555.2,32.7,4.81,257,1.72
2025.097.23:18:00/wx/-1.90,555.2,33.7,5.28,249,1.72
2025.097.23:19:00/wx/-2.00,555.2,34.4,4.82,245,1.72
2025.097.23:20:00/wx/-2.10,555.2,34.9,5.29,245,1.92
2025.097.23:21:00/wx/-2.11,555.2,35.4,5.16,251,1.99
2025.097.23:22:00/wx/-2.10,555.3,35.3,5.72,250,2.00
2025.097.23:23:00/wx/-2.00,555.2,35.0,4.96,251,1.99
2025.097.23:24:00/wx/-1.90,555.3,35.1,5.43,249,1.94
2025.097.23:25:00/wx/-1.90,555.2,34.9,3.98,257,1.95
2025.097.23:26:00/wx/-1.70,555.2,34.8,4.32,260,1.99
2025.097.23:27:00/wx/-1.80,555.2,35.0,5.64,249,2.03
2025.097.23:28:00/wx/-1.80,555.3,34.7,5.65,252,1.96
2025.097.23:29:00/wx/-2.00,555.3,34.9,5.74,249,1.87
2025.097.23:30:00/wx/-2.00,555.2,34.9,4.90,248,1.98
2025.097.23:31:00/wx/-2.10,555.3,35.1,5.42,244,2.08
2025.097.23:32:00/wx/-2.43,555.3,35.3,4.53,236,2.03
2025.097.23:33:00/wx/-2.60,555.3,36.0,4.66,245,2.00
2025.097.23:34:00/wx/-2.70,555.3,36.3,4.56,249,2.03
2025.097.23:35:00/wx/-2.56,555.3,36.2,5.46,247,2.03
