2025.276.00:30:00;APEX Database Weather Data for Timerange of fpt2025
2025.276.00:30:00;The format is wx/temp[C],press[mbar],humid[%],speed[m/s],direction[deg],pwv[mm]
2025.276.00:31:00/wx/-3.49,556.1,9.2,1.48,313,0.72
2025.276.00:32:00/wx/-3.40,556.1,9.1,1.53,322,0.71
2025.276.00:33:00/wx/-3.39,556.2,9.0,1.75,307,0.71
2025.276.00:34:00/wx/-3.30,556.1,8.9,1.37,300,0.70
2025.276.00:35:00/wx/-3.20,556.2,8.8,1.77,312,0.70
2025.276.00:36:00/wx/-3.20,556.1,8.6,1.13,300,0.70
2025.276.00:37:00/wx/-3.30,556.1,8.7,1.13,277,0.69
2025.276.00:38:00/wx/-3.30,556.1,8.7,0.81,275,0.69
2025.276.00:39:00/wx/-3.30,556.2,8.8,1.16,294,0.69
2025.276.00:40:00/wx/-3.24,556.1,8.8,1.10,283,0.69
2025.276.00:41:00/wx/-3.30,556.2,8.8,1.11,259,0.69
2025.276.00:42:00/wx/-3.30,556.1,8.9,1.02,263,0.69
2025.276.00:43:00/wx/-3.30,556.1,9.2,1.09,248,0.69
2025.276.00:44:00/wx/-3.46,556.2,9.3,1.03,273,0.70
2025.276.00:45:00/wx/-3.50,556.1,9.4,0.46,259,0.70
2025.276.00:46:00/wx/-3.40,556.1,9.6,1.03,295,0.70
2025.276.00:47:00/wx/-3.50,556.1,9.6,0.60,244,0.70
2025.276.00:48:00/wx/-3.60,556.2,9.8,0.76,248,0.70
2025.276.00:49:00/wx/-3.60,556.1,10.0,0.75,250,0.69
2025.276.00:50:00/wx/-3.70,556.1,10.2,0.68,290,0.69
2025.276.00:51:00/wx/-3.80,556.1,10.4,0.82,261,0.69
2025.276.00:52:00/wx/-3.90,556.1,10.4,0.34,43,0.69
2025.276.00:53:00/wx/-4.00,556.1,10.4,0.63,235,0.68
2025.276.00:54:00/wx/-4.10,556.1,10.5,0.29,327,0.69
2025.276.00:55:00/wx/-4.19,556.1,10.5,0.43,335,0.68
2025.276.00:56:00/wx/-4.20,556.1,10.4,0.51,34,0.68
2025.276.00:57:00/wx/-4.10,556.1,10.4,0.69,356,0.68
2025.276.00:58:00/wx/-4.11,556.1,10.3,0.33,337,0.67
2025.276.00:59:00/wx/-4.00,556.1,10.3,0.42,354,0.67
2025.276.01:00:00/wx/-3.90,556.2,10.3,0.54,325,0.67
2025.276.01:01:00/wx/-3.90,556.1,10.3,0.23,310,0.66
2025.276.01:02:00/wx/-3.90,556.1,10.2,0.65,339,0.66
2025.276.01:03:00/wx/-3.90,556.1,10.2,0.27,150,0.66
2025.276.01:04:00/wx/-3.90,556.1,10.2,0.45,331,0.66
2025.276.01:05:00/wx/-3.90,556.1,10.2,0.53,314,0.65
2025.276.01:06:00/wx/-3.90,556.1,10.1,0.37,310,0.65
2025.276.01:07:00/wx/-3.90,556.1,10.1,0.72,386,0.65
2025.276.01:08:00/wx/-3.80,556.1,10.0,0.83,10,0.65
2025.276.01:09:00/wx/-3.70,556.1,10.0,0.63,16,0.65
2025.276.01:10:00/wx/-3.60,556.1,9.8,1.10,12,0.65
2025.276.01:11:00/wx/-3.48,556.0,9.7,1.01,21,0.65
2025.276.01:12:00/wx/-3.35,556.1,9.4,0.69,-1,0.65
2025.276.01:13:00/wx/-3.30,556.1,9.2,0.86,87,0.64
2025.276.01:14:00/wx/-3.20,556.1,9.1,1.41,22,0.64
2025.276.01:15:00/wx/-3.20,556.1,9.2,1.11,-13,0.63
2025.276.01:16:00/wx/-3.18,556.1,8.8,1.02,335,0.64
2025.276.01:17:00/wx/-3.20,556.1,9.1,1.08,233,0.64
2025.276.01:18:00/wx/-3.20,556.1,8.9,0.53,342,0.64
2025.276.01:19:00/wx/-3.30,556.1,8.8,0.53,333,0.64
2025.276.01:20:00/wx/-3.30,556.1,8.7,1.86,349,0.64
2025.276.01:21:00/wx/-3.20,556.1,8.7,1.51,328,0.64
2025.276.01:22:00/wx/-3.10,556.1,8.7,1.33,345,0.64
2025.276.01:23:00/wx/-3.00,556.1,8.5,1.44,332,0.63
2025.276.01:24:00/wx/-3.00,556.1,8.4,1.41,329,0.63
2025.276.01:25:00/wx/-2.90,556.1,8.4,1.77,344,0.64
2025.276.01:26:00/wx/-2.90,556.1,8.4,1.81,338,0.65
2025.276.01:27:00/wx/-2.90,556.1,8.3,0.32,57,0.64
2025.276.01:28:00/wx/-2.90,556.1,8.4,0.30,145,0.64
2025.276.01:29:00/wx/-3.00,556.1,8.4,1.01,102,0.63
2025.276.01:30:00/wx/-3.00,556.1,8.4,0.79,100,0.64
2025.276.01:31:00/wx/-3.10,556.1,8.7,0.29,75,0.63
2025.276.01:32:00/wx/-3.20,556.0,8.6,0.15,58,0.64
2025.276.01:33:00/wx/-3.20,556.0,8.8,0.80,93,0.64
