2025.115.08:00:00;APEX Database Weather Data for Timerange of mj008
2025.115.08:00:00;The format is wx/temp[C],press[mbar],humid[%],speed[m/s],direction[deg],pwv[mm]
2025.115.08:01:00/wx/-3.60,553.8,23.0,0.36,64,0.79
2025.115.08:02:00/wx/-3.50,553.7,22.7,1.10,7,0.79
2025.115.08:03:00/wx/-3.60,553.7,22.4,0.32,298,0.78
2025.115.08:04:00/wx/-3.77,553.7,22.8,1.14,45,0.78
2025.115.08:05:00/wx/-3.60,553.7,22.3,1.71,28,0.77
2025.115.08:06:00/wx/-3.45,553.7,21.9,2.32,14,0.76
2025.115.08:07:00/wx/-3.50,553.7,21.9,0.85,338,0.76
2025.115.08:08:00/wx/-3.58,553.7,22.3,1.75,18,0.76
2025.115.08:09:00/wx/-3.58,553.7,22.1,1.48,332,0.76
2025.115.08:10:00/wx/-3.50,553.7,22.3,1.16,271,0.76
2025.115.08:11:00/wx/-3.40,553.7,22.0,1.13,243,0.76
2025.115.08:12:00/wx/-3.50,553.7,22.3,0.42,212,0.76
2025.115.08:13:00/wx/-3.62,553.7,22.5,0.59,274,0.76
2025.115.08:14:00/wx/-3.70,553.7,22.6,0.56,178,0.76
2025.115.08:15:00/wx/-3.80,553.7,22.7,0.61,31,0.76
2025.115.08:16:00/wx/-3.94,553.7,22.5,0.65,196,0.76
2025.115.08:17:00/wx/-3.80,553.7,22.8,1.02,173,0.77
2025.115.08:18:00/wx/-3.83,553.8,22.8,0.88,-1,0.78
2025.115.08:19:00/wx/-3.90,553.7,22.8,0.59,217,0.78
2025.115.08:20:00/wx/-3.90,553.7,23.1,0.50,255,0.78
2025.115.08:21:00/wx/-3.90,553.7,22.7,0.69,345,0.77
2025.115.08:22:00/wx/-4.00,553.7,23.0,0.51,275,0.77
2025.115.08:23:00/wx/-3.97,553.7,23.6,0.89,253,0.77
2025.115.08:24:00/wx/-3.90,553.7,23.2,0.63,297,0.77
2025.115.08:25:00/wx/-3.80,553.7,22.9,0.34,338,0.77
2025.115.08:26:00/wx/-3.96,553.7,22.4,0.60,12,0.76
2025.115.08:27:00/wx/-4.00,553.7,22.7,0.53,305,0.76
2025.115.08:28:00/wx/-4.00,553.7,23.1,0.25,300,0.75
2025.115.08:29:00/wx/-4.10,553.7,23.6,0.52,277,0.75
2025.115.08:30:00/wx/-4.20,553.7,23.7,0.32,83,0.75
2025.115.08:31:00/wx/-4.10,553.7,23.6,0.49,324,0.74
2025.115.08:32:00/wx/-4.00,553.7,23.6,1.09,25,0.75
2025.115.08:33:00/wx/-3.90,553.7,23.0,0.89,122,0.75
2025.115.08:34:00/wx/-3.88,553.7,23.0,0.68,235,0.75
2025.115.08:35:00/wx/-3.90,553.7,23.0,0.67,355,0.75
2025.115.08:36:00/wx/-3.80,553.7,22.9,2.07,7,0.75
2025.115.08:37:00/wx/-3.80,553.8,22.9,0.53,333,0.75
2025.115.08:38:00/wx/-3.93,553.7,23.2,0.63,4,0.76
2025.115.08:39:00/wx/-3.90,553.8,23.1,0.56,209,0.76
2025.115.08:40:00/wx/-3.90,553.7,23.0,0.37,160,0.77
2025.115.08:41:00/wx/-4.00,553.8,23.1,0.29,56,0.77
2025.115.08:42:00/wx/-4.00,553.8,22.8,0.74,67,0.77
2025.115.08:43:00/wx/-3.80,553.8,22.8,0.93,347,0.77
2025.115.08:44:00/wx/-3.80,553.7,22.5,1.25,17,0.75
2025.115.08:45:00/wx/-3.80,553.7,22.4,0.39,24,0.75
2025.115.08:46:00/wx/-3.90,553.8,22.9,0.34,122,0.76
2025.115.08:47:00/wx/-3.90,553.7,22.8,1.00,52,0.76
2025.115.08:48:00/wx/-3.90,553.8,22.7,0.92,304,0.75
2025.115.08:49:00/wx/-3.90,553.7,22.2,1.07,303,0.75
2025.115.08:50:00/wx/-3.90,553.7,22.3,0.13,44,0.74
2025.115.08:51:00/wx/-3.90,553.7,22.4,0.25,33,0.74
