2026.110.11:40:00;APEX Database Weather Data for Timerange of c261e
2026.110.11:40:00;The format is wx/temp[C],press[mbar],humid[%],speed[m/s],direction[deg],pwv[mm]
2026.110.11:41:00/wx/-3.70,555.0,22.6,4.11,341,2.81
2026.110.11:42:00/wx/-3.60,555.0,22.6,3.53,336,2.77
2026.110.11:43:00/wx/-3.70,555.0,22.7,3.37,339,2.75
2026.110.11:44:00/wx/-3.70,555.0,22.9,3.77,333,2.78
2026.110.11:45:00/wx/-3.60,555.0,22.4,3.48,342,2.77
2026.110.11:46:00/wx/-3.96,555.0,23.7,4.11,339,2.82
2026.110.11:47:00/wx/-3.80,555.0,23.3,3.55,332,2.83
2026.110.11:48:00/wx/-3.84,555.0,23.0,3.80,340,2.86
2026.110.11:49:00/wx/-3.98,555.0,23.9,3.93,348,2.83
2026.110.11:50:00/wx/-4.53,555.0,28.1,3.73,347,2.82
2026.110.11:51:00/wx/-4.24,555.0,25.7,4.00,338,2.84
2026.110.11:52:00/wx/-4.00,555.0,24.1,3.92,337,2.84
2026.110.11:53:00/wx/-3.84,555.0,23.6,4.40,337,2.89
2026.110.11:54:00/wx/-3.81,555.0,23.9,3.97,327,2.89
2026.110.11:55:00/wx/-3.70,555.0,23.4,3.69,336,2.79
2026.110.11:56:00/wx/-3.70,555.0,23.6,3.98,332,2.84
2026.110.11:57:00/wx/-3.70,555.0,23.7,4.18,337,2.82
2026.110.11:58:00/wx/-3.54,555.0,23.2,3.37,339,2.81
2026.110.11:59:00/wx/-3.70,555.0,24.0,3.96,327,2.76
2026.110.12:00:00/wx/-3.71,555.0,24.6,3.66,348,2.74
2026.110.12:01:00/wx/-3.80,555.0,26.1,3.77,342,2.76
2026.110.12:02:00/wx/-3.69,555.0,25.7,4.43,336,2.78
2026.110.12:03:00/wx/-3.40,555.0,23.1,3.37,338,2.78
2026.110.12:04:00/wx/-3.40,555.0,24.1,3.63,339,2.82
2026.110.12:05:00/wx/-3.40,555.0,24.3,3.87,339,2.85
2026.110.12:06:00/wx/-3.38,555.0,23.2,4.29,348,2.84
2026.110.12:07:00/wx/-3.39,555.0,23.0,4.20,342,2.83
2026.110.12:08:00/wx/-3.40,555.1,23.3,4.20,336,2.81
2026.110.12:09:00/wx/-3.50,555.1,24.8,4.13,337,2.80
2026.110.12:10:00/wx/-3.37,555.0,25.1,4.38,348,2.79
2026.110.12:11:00/wx/-3.20,555.1,23.5,3.90,343,2.81
2026.110.12:12:00/wx/-3.40,555.1,23.7,3.67,335,2.81
2026.110.12:13:00/wx/-3.50,555.1,25.5,2.87,323,2.79
2026.110.12:14:00/wx/-3.40,555.1,27.2,4.03,335,2.78
2026.110.12:15:00/wx/-3.30,555.1,24.1,3.85,333,2.82
2026.110.12:16:00/wx/-3.10,555.1,22.7,3.73,353,2.84
2026.110.12:17:00/wx/-3.09,555.1,22.3,3.72,332,2.81
2026.110.12:18:00/wx/-3.00,555.1,23.1,3.43,324,2.84
2026.110.12:19:00/wx/-2.90,555.1,23.5,4.03,333,2.81
2026.110.12:20:00/wx/-2.90,555.1,23.0,3.61,333,2.82
2026.110.12:21:00/wx/-2.81,555.2,22.8,3.17,340,2.77
2026.110.12:22:00/wx/-2.68,555.2,22.0,3.24,340,2.74
2026.110.12:23:00/wx/-2.50,555.2,22.2,3.63,324,2.78
2026.110.12:24:00/wx/-2.70,555.2,22.5,3.52,334,2.77
2026.110.12:25:00/wx/-2.70,555.2,22.5,3.08,325,2.75
2026.110.12:26:00/wx/-2.51,555.2,22.9,3.01,332,2.76
2026.110.12:27:00/wx/-2.60,555.2,22.9,3.66,324,2.75
2026.110.12:28:00/wx/-2.60,555.2,23.4,3.57,318,2.79
2026.110.12:29:00/wx/-2.50,555.2,24.5,3.31,323,2.76
2026.110.12:30:00/wx/-2.40,555.3,23.6,3.38,317,2.77
2026.110.12:31:00/wx/-2.50,555.2,23.3,3.62,328,2.75
2026.110.12:32:00/wx/-2.60,555.3,22.4,3.74,319,2.76
2026.110.12:33:00/wx/-2.62,555.3,22.5,3.43,314,2.77
2026.110.12:34:00/wx/-2.60,555.3,22.7,3.20,315,2.77
2026.110.12:35:00/wx/-2.50,555.3,23.3,3.72,309,2.79
2026.110.12:36:00/wx/-2.51,555.3,23.5,3.92,327,2.79
2026.110.12:37:00/wx/-2.30,555.3,24.3,2.95,308,2.79
2026.110.12:38:00/wx/-2.38,555.3,24.8,3.45,316,2.79
2026.110.12:39:00/wx/-2.40,555.3,24.4,2.69,308,2.81
2026.110.12:40:00/wx/-2.24,555.3,25.4,3.19,305,2.81
2026.110.12:41:00/wx/-2.19,555.3,24.2,3.89,313,2.81
2026.110.12:42:00/wx/-2.20,555.3,24.1,3.74,313,2.83
2026.110.12:43:00/wx/-2.18,555.3,23.1,3.77,293,2.81
2026.110.12:44:00/wx/-2.21,555.3,22.8,4.52,306,2.83
2026.110.12:45:00/wx/-2.30,555.3,23.1,3.88,299,2.82
2026.110.12:46:00/wx/-2.10,555.3,23.5,2.93,280,2.82
2026.110.12:47:00/wx/-2.00,555.3,23.3,4.38,291,2.84
2026.110.12:48:00/wx/-2.01,555.3,23.1,4.32,283,2.84
2026.110.12:49:00/wx/-2.10,555.4,22.8,4.71,292,2.85
2026.110.12:50:00/wx/-2.07,555.4,22.6,4.87,289,2.83
2026.110.12:51:00/wx/-2.10,555.4,23.1,4.03,278,2.83
2026.110.12:52:00/wx/-1.71,555.4,23.4,4.30,280,2.84
2026.110.12:53:00/wx/-1.99,555.4,22.5,4.27,293,2.86
2026.110.12:54:00/wx/-2.00,555.4,22.1,4.27,277,2.86
2026.110.12:55:00/wx/-2.13,555.4,21.7,3.49,263,2.80
2026.110.12:56:00/wx/-2.10,555.4,21.9,3.73,279,2.82
2026.110.12:57:00/wx/-1.99,555.4,21.7,3.46,275,2.81
2026.110.12:58:00/wx/-1.90,555.4,21.8,3.57,293,2.78
2026.110.12:59:00/wx/-1.91,555.4,21.2,4.48,290,2.72
2026.110.13:00:00/wx/-1.80,555.4,21.7,4.77,296,2.75
2026.110.13:01:00/wx/-1.89,555.4,21.6,4.39,294,2.77
2026.110.13:02:00/wx/-1.80,555.4,22.0,4.20,272,2.74
2026.110.13:03:00/wx/-2.00,555.5,21.8,4.13,277,2.73
2026.110.13:04:00/wx/-1.70,555.4,21.6,3.04,286,2.75
2026.110.13:05:00/wx/-1.28,555.5,21.8,3.75,277,2.79
2026.110.13:06:00/wx/-1.49,555.5,21.4,4.13,275,2.76
2026.110.13:07:00/wx/-1.86,555.5,21.2,3.36,281,2.77
2026.110.13:08:00/wx/-1.90,555.5,21.5,3.93,256,2.79
2026.110.13:09:00/wx/-1.80,555.6,21.7,2.92,273,2.82
2026.110.13:10:00/wx/-1.51,555.5,21.8,5.45,279,2.83
2026.110.13:11:00/wx/-1.80,555.5,21.7,3.93,283,2.83
2026.110.13:12:00/wx/-1.65,555.5,21.9,4.25,272,2.81
2026.110.13:13:00/wx/-1.60,555.5,22.2,4.60,289,2.83
2026.110.13:14:00/wx/-1.70,555.6,22.4,3.75,257,2.84
2026.110.13:15:00/wx/-1.68,555.6,22.5,4.66,282,2.79
2026.110.13:16:00/wx/-1.80,555.5,22.3,3.49,270,2.79
