2026.111.08:00:00;APEX Database Weather Data for Timerange of c261f
2026.111.08:00:00;The format is wx/temp[C],press[mbar],humid[%],speed[m/s],direction[deg],pwv[mm]
2026.111.08:01:00/wx/-4.80,554.9,46.4,3.48,327,1.32
2026.111.08:02:00/wx/-4.80,554.9,46.3,2.66,329,1.30
2026.111.08:03:00/wx/-4.80,554.9,46.4,3.14,334,1.28
2026.111.08:04:00/wx/-4.80,554.9,46.3,2.92,334,1.29
2026.111.08:05:00/wx/-4.80,554.9,46.3,2.79,329,1.29
2026.111.08:06:00/wx/-4.80,554.8,46.4,2.76,329,1.31
2026.111.08:07:00/wx/-4.90,554.8,46.4,3.51,338,1.29
2026.111.08:08:00/wx/-4.80,554.8,46.5,3.29,328,1.28
2026.111.08:09:00/wx/-4.70,554.8,46.4,3.33,333,1.27
2026.111.08:10:00/wx/-4.70,554.8,46.1,3.43,329,1.27
2026.111.08:11:00/wx/-4.87,554.8,46.0,3.21,331,1.31
2026.111.08:12:00/wx/-4.80,554.9,46.6,3.41,339,1.30
2026.111.08:13:00/wx/-4.80,554.8,46.4,3.23,335,1.27
2026.111.08:14:00/wx/-4.80,554.8,46.4,3.24,325,1.27
2026.111.08:15:00/wx/-4.80,554.8,46.5,3.46,331,1.27
2026.111.08:16:00/wx/-4.70,554.8,46.3,2.63,321,1.28
2026.111.08:17:00/wx/-4.71,554.8,46.2,2.94,330,1.28
2026.111.08:18:00/wx/-4.70,554.8,46.2,3.29,338,1.29
2026.111.08:19:00/wx/-4.70,554.8,46.1,3.55,330,1.31
2026.111.08:20:00/wx/-4.70,554.8,46.1,3.23,329,1.31
2026.111.08:21:00/wx/-4.80,554.8,46.3,3.21,334,1.29
2026.111.08:22:00/wx/-4.80,554.8,46.4,3.23,337,1.28
2026.111.08:23:00/wx/-4.80,554.8,46.4,2.98,336,1.27
2026.111.08:24:00/wx/-4.90,554.7,46.5,3.13,333,1.27
2026.111.08:25:00/wx/-4.80,554.7,46.6,3.43,339,1.28
2026.111.08:26:00/wx/-4.80,554.8,46.6,3.35,328,1.29
2026.111.08:27:00/wx/-4.90,554.8,46.4,3.34,335,1.27
