2026.104.01:16:00;APEX Database Weather Data for Timerange of e26a14
2026.104.01:16:00;The format is wx/temp[C],press[mbar],humid[%],speed[m/s],direction[deg],pwv[mm]
2026.104.01:17:00/wx/-4.40,553.9,89.2,7.02,306,-999.00
2026.104.01:18:00/wx/-4.30,553.9,88.7,7.35,297,-999.00
2026.104.01:19:00/wx/-4.20,553.9,87.9,7.39,303,-999.00
2026.104.01:20:00/wx/-4.15,554.0,87.4,7.01,303,-999.00
2026.104.01:21:00/wx/-4.00,553.9,87.2,7.73,298,-999.00
2026.104.01:22:00/wx/-3.80,553.9,86.4,8.59,299,-999.00
2026.104.01:23:00/wx/-3.91,554.0,85.7,8.63,297,-999.00
2026.104.01:24:00/wx/-3.80,554.0,85.9,7.75,299,-999.00
2026.104.01:25:00/wx/-3.70,554.0,84.8,8.63,293,-999.00
2026.104.01:26:00/wx/-3.70,554.0,84.3,9.73,298,3.37
2026.104.01:27:00/wx/-3.70,554.0,84.4,9.43,297,3.17
2026.104.01:28:00/wx/-3.70,554.0,84.0,9.37,294,3.45
2026.104.01:29:00/wx/-3.30,553.9,83.0,7.07,297,3.52
2026.104.01:30:00/wx/-3.50,554.0,82.3,8.90,301,3.31
2026.104.01:31:00/wx/-3.60,554.0,82.7,8.23,303,3.23
2026.104.01:32:00/wx/-3.45,553.9,82.5,8.52,302,3.32
2026.104.01:33:00/wx/-3.60,553.9,81.8,7.77,292,3.38
2026.104.01:34:00/wx/-3.47,553.9,82.1,10.01,301,3.22
2026.104.01:35:00/wx/-3.20,553.9,81.0,10.81,297,3.15
2026.104.01:36:00/wx/-3.20,553.9,79.5,9.13,301,3.27
2026.104.01:37:00/wx/-3.51,553.9,79.7,9.22,298,3.11
2026.104.01:38:00/wx/-3.51,553.9,80.5,9.49,296,2.93
2026.104.01:39:00/wx/-3.40,553.9,80.9,9.60,295,3.03
2026.104.01:40:00/wx/-3.44,553.9,81.0,9.17,300,3.19
2026.104.01:41:00/wx/-3.20,553.9,77.9,10.39,296,3.20
2026.104.01:42:00/wx/-3.06,553.9,77.1,10.62,295,3.24
2026.104.01:43:00/wx/-3.20,553.9,77.0,8.62,300,3.12
2026.104.01:44:00/wx/-3.40,553.9,77.8,8.92,295,3.02
2026.104.01:45:00/wx/-3.43,553.9,77.8,9.94,299,3.16
2026.104.01:46:00/wx/-3.50,553.9,78.3,7.62,296,3.11
2026.104.01:47:00/wx/-3.70,553.9,79.4,7.34,294,3.00
2026.104.01:48:00/wx/-3.80,553.9,80.1,8.89,297,2.85
2026.104.01:49:00/wx/-3.60,553.9,80.2,8.90,293,2.98
2026.104.01:50:00/wx/-3.42,553.9,79.8,9.48,302,3.24
2026.104.01:51:00/wx/-3.40,553.9,79.2,8.57,302,3.10
2026.104.01:52:00/wx/-3.45,553.9,79.1,10.21,298,3.07
2026.104.01:53:00/wx/-3.40,553.9,78.3,9.32,292,3.18
2026.104.01:54:00/wx/-3.50,553.9,78.6,9.26,299,3.06
2026.104.01:55:00/wx/-3.60,553.8,79.2,7.85,296,2.94
2026.104.01:56:00/wx/-3.60,553.9,79.9,6.57,299,2.94
2026.104.01:57:00/wx/-3.61,553.9,80.3,9.90,306,2.95
2026.104.01:58:00/wx/-3.40,553.9,79.6,9.83,303,3.05
2026.104.01:59:00/wx/-3.60,553.9,79.9,8.57,302,3.05
2026.104.02:00:00/wx/-3.60,553.9,80.5,8.75,300,3.11
2026.104.02:01:00/wx/-3.48,553.9,80.5,9.56,301,3.22
2026.104.02:02:00/wx/-3.40,553.9,78.9,9.74,304,3.03
2026.104.02:03:00/wx/-3.49,553.9,79.2,7.85,300,3.05
2026.104.02:04:00/wx/-3.43,553.9,79.6,9.13,296,2.93
2026.104.02:05:00/wx/-3.60,553.9,80.2,8.97,301,2.94
2026.104.02:06:00/wx/-3.40,553.9,81.3,8.78,302,3.03
2026.104.02:07:00/wx/-3.54,553.9,80.8,8.30,299,3.06
2026.104.02:08:00/wx/-3.70,553.9,81.4,7.13,298,3.06
2026.104.02:09:00/wx/-3.70,553.9,82.4,8.88,302,3.04
2026.104.02:10:00/wx/-3.80,553.9,82.5,7.44,297,3.08
2026.104.02:11:00/wx/-3.69,553.9,82.9,8.64,301,3.08
2026.104.02:12:00/wx/-3.70,553.9,82.3,8.35,295,3.15
2026.104.02:13:00/wx/-3.70,553.9,82.5,8.33,296,3.02
2026.104.02:14:00/wx/-3.80,553.9,82.6,7.86,300,2.98
2026.104.02:15:00/wx/-3.81,553.9,83.0,7.40,297,3.06
2026.104.02:16:00/wx/-3.60,553.9,83.8,7.85,298,2.90
2026.104.02:17:00/wx/-3.76,553.9,83.1,8.45,297,2.97
2026.104.02:18:00/wx/-3.70,553.9,83.4,9.33,301,2.97
2026.104.02:19:00/wx/-3.90,553.9,83.4,8.27,304,2.85
2026.104.02:20:00/wx/-3.99,553.9,84.0,6.47,306,2.76
2026.104.02:21:00/wx/-4.10,553.9,84.3,7.73,303,2.97
2026.104.02:22:00/wx/-4.00,553.9,84.9,9.22,296,2.98
2026.104.02:23:00/wx/-3.90,553.9,83.7,9.53,303,2.89
2026.104.02:24:00/wx/-4.01,553.9,83.3,8.14,296,2.81
2026.104.02:25:00/wx/-3.82,553.9,83.9,9.95,292,2.87
2026.104.02:26:00/wx/-3.91,553.9,83.4,7.41,303,2.84
2026.104.02:27:00/wx/-4.00,553.9,84.1,8.50,297,2.86
2026.104.02:28:00/wx/-4.00,553.9,84.5,7.40,302,2.81
2026.104.02:29:00/wx/-4.00,553.8,84.6,6.56,305,2.78
2026.104.02:30:00/wx/-4.19,553.8,84.7,6.55,311,2.79
2026.104.02:31:00/wx/-4.09,553.8,85.4,8.23,303,2.67
2026.104.02:32:00/wx/-4.21,553.8,85.2,7.95,305,2.80
