2026.023.06:35:00;APEX Database Weather Data for Timerange of e26j23
2026.023.06:35:00;The format is wx/temp[C],press[mbar],humid[%],speed[m/s],direction[deg],pwv[mm]
2026.023.06:36:00/wx/-2.25,554.9,97.9,2.61,104,-999.00
2026.023.06:37:00/wx/-2.40,554.9,97.8,2.97,116,-999.00
2026.023.06:38:00/wx/-2.60,554.9,97.1,2.25,119,-999.00
2026.023.06:39:00/wx/-2.32,554.8,97.8,2.10,30,-999.00
2026.023.06:40:00/wx/-2.30,554.9,97.6,3.40,82,-999.00
2026.023.06:41:00/wx/-1.84,554.8,97.2,3.05,83,-999.00
2026.023.06:42:00/wx/-1.80,554.8,96.9,3.90,61,-999.00
2026.023.06:43:00/wx/-1.90,554.8,95.6,3.80,96,-999.00
2026.023.06:44:00/wx/-2.30,554.8,94.9,4.43,67,-999.00
2026.023.06:45:00/wx/-1.90,554.8,95.3,3.91,77,-999.00
2026.023.06:46:00/wx/-1.90,554.8,94.4,6.16,82,-999.00
2026.023.06:47:00/wx/-1.70,554.8,94.9,4.30,79,-999.00
2026.023.06:48:00/wx/-1.94,554.8,94.8,4.76,89,-999.00
2026.023.06:49:00/wx/-2.00,554.8,94.3,4.39,76,-999.00
2026.023.06:50:00/wx/-2.02,554.8,94.0,4.20,94,-999.00
2026.023.06:51:00/wx/-2.30,554.8,93.3,4.57,84,-999.00
2026.023.06:52:00/wx/-2.40,554.8,93.3,3.44,102,-999.00
2026.023.06:53:00/wx/-2.84,554.8,93.1,1.68,102,-999.00
2026.023.06:54:00/wx/-2.99,554.8,94.5,2.26,91,-999.00
2026.023.06:55:00/wx/-3.41,554.8,93.0,4.08,105,-999.00
2026.023.06:56:00/wx/-3.35,554.8,93.1,4.09,112,-999.00
2026.023.06:57:00/wx/-3.00,554.7,93.7,3.41,110,-999.00
2026.023.06:58:00/wx/-3.00,554.7,94.3,4.91,108,-999.00
2026.023.06:59:00/wx/-3.09,554.7,94.6,4.18,94,-999.00
2026.023.07:00:00/wx/-3.10,554.8,94.7,5.44,104,-999.00
2026.023.07:01:00/wx/-3.00,554.7,94.7,5.75,105,-999.00
2026.023.07:02:00/wx/-3.00,554.7,94.7,4.41,121,-999.00
2026.023.07:03:00/wx/-2.70,554.8,95.4,5.45,113,-999.00
2026.023.07:04:00/wx/-2.70,554.7,96.1,7.56,105,-999.00
2026.023.07:05:00/wx/-2.51,554.8,95.8,4.88,97,-999.00
2026.023.07:06:00/wx/-2.80,554.8,95.9,4.32,103,-999.00
2026.023.07:07:00/wx/-2.80,554.8,97.0,3.71,106,-999.00
2026.023.07:08:00/wx/-2.70,554.8,97.0,4.99,108,-999.00
2026.023.07:09:00/wx/-2.89,554.8,96.2,3.56,113,-999.00
2026.023.07:10:00/wx/-2.59,554.8,97.1,5.51,109,-999.00
2026.023.07:11:00/wx/-2.43,554.8,97.0,2.64,113,-999.00
2026.023.07:12:00/wx/-2.40,554.8,97.8,6.51,108,-999.00
2026.023.07:13:00/wx/-2.40,554.8,96.7,4.93,109,-999.00
2026.023.07:14:00/wx/-2.31,554.8,96.6,5.47,107,-999.00
2026.023.07:15:00/wx/-2.30,554.8,96.6,4.66,110,-999.00
2026.023.07:16:00/wx/-2.30,554.8,97.0,3.78,101,-999.00
2026.023.07:17:00/wx/-2.50,554.8,97.4,5.57,97,-999.00
2026.023.07:18:00/wx/-2.40,554.8,97.2,3.86,95,-999.00
2026.023.07:19:00/wx/-2.60,554.8,97.5,3.93,86,-999.00
2026.023.07:20:00/wx/-2.70,554.8,97.2,2.36,97,-999.00
2026.023.07:21:00/wx/-2.54,554.8,98.4,4.52,104,-999.00
2026.023.07:22:00/wx/-2.30,554.8,97.5,4.32,111,-999.00
2026.023.07:23:00/wx/-2.20,554.8,97.2,5.07,104,-999.00
2026.023.07:24:00/wx/-2.10,554.8,97.1,5.02,98,-999.00
2026.023.07:25:00/wx/-2.10,554.7,97.3,4.70,96,-999.00
2026.023.07:26:00/wx/-2.10,554.7,97.0,5.34,100,-999.00
2026.023.07:27:00/wx/-2.10,554.7,97.1,4.81,95,-999.00
2026.023.07:28:00/wx/-2.20,554.7,97.5,4.04,108,-999.00
2026.023.07:29:00/wx/-2.10,554.7,97.4,4.69,97,-999.00
2026.023.07:30:00/wx/-2.10,554.7,97.7,5.69,107,-999.00
2026.023.07:31:00/wx/-2.10,554.7,97.8,4.39,103,-999.00
2026.023.07:32:00/wx/-2.10,554.7,98.1,5.11,101,-999.00
2026.023.07:33:00/wx/-2.10,554.7,97.8,4.79,99,-999.00
2026.023.07:34:00/wx/-2.10,554.7,97.9,5.35,103,-999.00
2026.023.07:35:00/wx/-2.10,554.7,97.4,6.06,108,-999.00
2026.023.07:36:00/wx/-2.10,554.7,97.4,4.84,96,-999.00
2026.023.07:37:00/wx/-2.10,554.7,97.6,4.91,106,-999.00
2026.023.07:38:00/wx/-2.10,554.6,97.7,5.87,105,-999.00
2026.023.07:39:00/wx/-2.00,554.7,97.6,7.62,103,-999.00
2026.023.07:40:00/wx/-2.10,554.7,97.5,5.77,104,-999.00
2026.023.07:41:00/wx/-2.10,554.7,98.0,5.18,106,-999.00
2026.023.07:42:00/wx/-2.10,554.7,98.0,4.97,105,-999.00
2026.023.07:43:00/wx/-2.10,554.7,97.6,5.95,103,-999.00
2026.023.07:44:00/wx/-2.00,554.6,97.9,6.81,98,-999.00
2026.023.07:45:00/wx/-2.00,554.6,98.0,3.54,108,-999.00
2026.023.07:46:00/wx/-2.01,554.6,98.2,5.21,97,-999.00
2026.023.07:47:00/wx/-2.00,554.6,98.2,6.24,111,-999.00
2026.023.07:48:00/wx/-2.00,554.6,97.7,5.90,101,-999.00
2026.023.07:49:00/wx/-2.00,554.6,97.1,6.61,108,-999.00
2026.023.07:50:00/wx/-2.00,554.6,97.5,6.38,107,-999.00
2026.023.07:51:00/wx/-2.00,554.6,97.5,7.31,105,-999.00
2026.023.07:52:00/wx/-2.00,554.6,97.7,4.90,102,-999.00
2026.023.07:53:00/wx/-2.00,554.6,97.7,6.12,113,-999.00
2026.023.07:54:00/wx/-2.00,554.6,97.6,6.01,103,-999.00
2026.023.07:55:00/wx/-2.00,554.6,97.7,5.48,105,-999.00
2026.023.07:56:00/wx/-2.00,554.6,97.7,5.59,96,-999.00
2026.023.07:57:00/wx/-2.00,554.6,98.2,6.71,106,-999.00
2026.023.07:58:00/wx/-2.00,554.6,97.7,5.06,107,-999.00
2026.023.07:59:00/wx/-2.00,554.6,97.6,4.81,97,-999.00
2026.023.08:00:00/wx/-2.04,554.6,97.8,5.09,104,-999.00
2026.023.08:01:00/wx/-2.10,554.7,97.9,6.96,96,-999.00
2026.023.08:02:00/wx/-2.10,554.7,97.9,5.60,99,-999.00
2026.023.08:03:00/wx/-2.10,554.7,97.9,5.00,104,-999.00
2026.023.08:04:00/wx/-2.10,554.7,97.9,5.50,95,-999.00
2026.023.08:05:00/wx/-2.10,554.7,98.3,5.49,101,-999.00
2026.023.08:06:00/wx/-2.10,554.7,97.9,5.44,104,-999.00
2026.023.08:07:00/wx/-2.10,554.7,97.9,5.65,105,-999.00
2026.023.08:08:00/wx/-2.21,554.7,97.3,4.69,105,-999.00
2026.023.08:09:00/wx/-2.20,554.6,97.8,6.09,100,-999.00
