2026.124.23:53:00;APEX Database Weather Data for Timerange of e26y05
2026.124.23:53:00;The format is wx/temp[C],press[mbar],humid[%],speed[m/s],direction[deg],pwv[mm]
2026.124.23:54:00/wx/-2.60,557.2,15.8,3.07,247,1.43
2026.124.23:55:00/wx/-2.40,557.2,15.8,3.50,245,1.45
2026.124.23:56:00/wx/-2.50,557.2,15.7,3.02,249,1.42
2026.124.23:57:00/wx/-2.50,557.2,15.8,3.14,242,1.45
2026.124.23:58:00/wx/-2.48,557.2,15.8,2.54,247,1.44
2026.124.23:59:00/wx/-2.50,557.2,15.9,2.55,251,1.43
2026.125.00:00:00/wx/-2.40,557.2,15.8,2.30,249,1.42
2026.125.00:01:00/wx/-2.30,557.2,15.7,1.73,263,1.44
2026.125.00:02:00/wx/-2.46,557.3,15.7,1.88,249,1.44
2026.125.00:03:00/wx/-2.63,557.3,16.0,2.66,238,1.42
2026.125.00:04:00/wx/-2.40,557.3,15.9,3.41,234,1.42
2026.125.00:05:00/wx/-2.30,557.3,15.7,3.18,226,1.43
2026.125.00:06:00/wx/-2.20,557.3,15.6,2.12,247,1.43
2026.125.00:07:00/wx/-2.30,557.3,15.7,2.32,232,1.42
2026.125.00:08:00/wx/-2.30,557.3,15.8,1.52,239,1.42
2026.125.00:09:00/wx/-2.29,557.3,15.8,5.17,229,1.42
2026.125.00:10:00/wx/-2.16,557.4,15.5,4.02,233,1.45
2026.125.00:11:00/wx/-2.70,557.4,15.7,1.92,258,1.43
2026.125.00:12:00/wx/-2.80,557.4,16.3,2.77,233,1.42
2026.125.00:13:00/wx/-2.70,557.4,16.3,1.88,240,1.42
2026.125.00:14:00/wx/-2.70,557.4,16.2,2.22,250,1.41
2026.125.00:15:00/wx/-2.60,557.4,16.1,1.73,241,1.41
2026.125.00:16:00/wx/-2.50,557.4,16.2,2.23,245,1.38
2026.125.00:17:00/wx/-2.40,557.4,16.1,3.60,237,1.37
2026.125.00:18:00/wx/-2.40,557.5,16.0,3.44,243,1.36
2026.125.00:19:00/wx/-2.31,557.5,16.0,1.88,239,1.37
2026.125.00:20:00/wx/-2.50,557.5,16.1,2.05,248,1.37
2026.125.00:21:00/wx/-2.60,557.5,16.2,2.22,246,1.37
2026.125.00:22:00/wx/-2.50,557.5,16.3,1.97,254,1.37
2026.125.00:23:00/wx/-2.50,557.5,16.2,1.92,250,1.37
2026.125.00:24:00/wx/-2.60,557.5,16.4,1.34,264,1.34
2026.125.00:25:00/wx/-2.50,557.5,16.4,2.20,246,1.33
2026.125.00:26:00/wx/-2.40,557.5,16.2,2.26,228,1.33
2026.125.00:27:00/wx/-2.31,557.5,16.1,3.64,217,1.34
2026.125.00:28:00/wx/-2.01,557.5,15.9,3.74,221,1.34
2026.125.00:29:00/wx/-1.90,557.5,15.7,3.12,220,1.31
2026.125.00:30:00/wx/-1.63,557.5,15.5,3.46,221,1.31
2026.125.00:31:00/wx/-1.51,557.5,15.3,2.90,228,1.31
2026.125.00:32:00/wx/-1.80,557.5,15.4,2.01,252,1.32
2026.125.00:33:00/wx/-1.90,557.5,15.7,1.32,234,1.30
2026.125.00:34:00/wx/-2.00,557.5,15.7,1.38,235,1.28
2026.125.00:35:00/wx/-2.00,557.5,15.6,1.31,236,1.27
2026.125.00:36:00/wx/-2.10,557.5,15.6,1.55,239,1.27
2026.125.00:37:00/wx/-2.00,557.5,15.6,1.52,241,1.29
2026.125.00:38:00/wx/-2.00,557.5,15.6,1.50,222,1.29
2026.125.00:39:00/wx/-2.00,557.5,15.7,0.78,220,1.32
2026.125.00:40:00/wx/-2.00,557.6,15.8,1.24,246,1.33
2026.125.00:41:00/wx/-2.00,557.6,15.7,1.51,230,1.32
2026.125.00:42:00/wx/-2.00,557.6,15.8,1.32,239,1.31
2026.125.00:43:00/wx/-1.90,557.5,15.7,0.82,251,1.30
2026.125.00:44:00/wx/-1.80,557.5,15.7,0.43,264,1.31
2026.125.00:45:00/wx/-1.80,557.6,15.7,1.00,248,1.34
2026.125.00:46:00/wx/-1.70,557.5,15.7,1.34,227,1.34
2026.125.00:47:00/wx/-1.65,557.5,15.6,1.36,223,1.32
2026.125.00:48:00/wx/-1.60,557.6,15.5,1.23,236,1.31
2026.125.00:49:00/wx/-1.70,557.5,15.4,1.22,224,1.35
2026.125.00:50:00/wx/-1.70,557.6,15.5,0.96,233,1.36
2026.125.00:51:00/wx/-1.70,557.6,15.5,0.90,229,1.35
2026.125.00:52:00/wx/-1.80,557.6,15.6,0.64,220,1.35
2026.125.00:53:00/wx/-1.80,557.6,15.5,1.02,228,1.37
2026.125.00:54:00/wx/-1.80,557.6,15.5,0.75,221,1.40
2026.125.00:55:00/wx/-1.90,557.6,15.6,0.62,238,1.38
2026.125.00:56:00/wx/-2.01,557.6,15.8,0.41,260,1.37
2026.125.00:57:00/wx/-2.20,557.6,15.9,0.29,247,1.40
2026.125.00:58:00/wx/-2.40,557.6,16.1,0.13,180,1.38
