2026.111.06:48:00;APEX Database Weather Data for Timerange of mj008b
2026.111.06:48:00;The format is wx/temp[C],press[mbar],humid[%],speed[m/s],direction[deg],pwv[mm]
2026.111.06:49:00/wx/-5.80,555.1,47.0,2.76,318,1.33
2026.111.06:50:00/wx/-5.90,555.2,48.9,3.83,329,1.36
2026.111.06:51:00/wx/-5.66,555.2,48.7,3.53,333,1.36
2026.111.06:52:00/wx/-5.41,555.2,48.2,3.54,332,1.32
2026.111.06:53:00/wx/-5.40,555.1,48.0,3.72,332,1.31
2026.111.06:54:00/wx/-5.10,555.1,48.0,3.55,329,1.33
2026.111.06:55:00/wx/-5.10,555.1,47.4,3.33,331,1.34
2026.111.06:56:00/wx/-5.00,555.1,47.3,3.59,328,1.34
2026.111.06:57:00/wx/-5.00,555.1,47.0,3.68,332,1.35
2026.111.06:58:00/wx/-5.00,555.1,47.0,3.62,334,1.35
2026.111.06:59:00/wx/-4.96,555.1,46.8,3.46,337,1.35
2026.111.07:00:00/wx/-4.90,555.1,46.9,3.53,330,1.34
2026.111.07:01:00/wx/-4.90,555.1,46.7,3.85,334,1.33
2026.111.07:02:00/wx/-4.81,555.0,46.7,3.74,340,1.33
2026.111.07:03:00/wx/-4.90,555.1,46.6,3.73,335,1.34
2026.111.07:04:00/wx/-4.90,555.0,46.6,3.60,335,1.33
2026.111.07:05:00/wx/-4.90,555.0,46.7,4.03,334,1.33
2026.111.07:06:00/wx/-4.90,555.0,46.7,3.61,333,1.34
2026.111.07:07:00/wx/-5.00,555.0,46.8,3.70,334,1.32
2026.111.07:08:00/wx/-5.00,555.0,46.9,3.79,334,1.34
2026.111.07:09:00/wx/-5.00,555.0,46.9,3.53,336,1.33
2026.111.07:10:00/wx/-5.00,555.0,47.0,3.44,332,1.33
2026.111.07:11:00/wx/-4.90,555.0,46.8,3.15,328,1.32
2026.111.07:12:00/wx/-4.90,555.0,46.8,3.00,323,1.32
2026.111.07:13:00/wx/-5.03,554.9,46.7,3.68,321,1.32
2026.111.07:14:00/wx/-5.20,554.9,47.0,3.76,329,1.32
2026.111.07:15:00/wx/-5.10,555.0,47.1,4.13,333,1.32
2026.111.07:16:00/wx/-4.95,554.9,46.7,3.71,324,1.34
2026.111.07:17:00/wx/-5.20,555.0,46.4,3.73,334,1.34
2026.111.07:18:00/wx/-5.10,555.0,47.2,4.02,332,1.35
2026.111.07:19:00/wx/-5.00,555.0,46.8,4.19,335,1.35
2026.111.07:20:00/wx/-5.00,555.0,46.7,3.54,339,1.37
2026.111.07:21:00/wx/-4.85,555.0,46.6,3.67,331,1.37
2026.111.07:22:00/wx/-4.90,555.0,46.4,4.22,331,1.37
2026.111.07:23:00/wx/-4.90,555.0,46.3,4.00,334,1.37
2026.111.07:24:00/wx/-5.00,555.0,46.5,4.36,329,1.39
2026.111.07:25:00/wx/-4.90,555.0,46.6,3.92,331,1.39
2026.111.07:26:00/wx/-4.95,555.0,46.2,3.87,333,1.36
2026.111.07:27:00/wx/-4.90,555.0,46.7,3.73,333,1.37
2026.111.07:28:00/wx/-4.80,555.0,46.4,3.51,332,1.34
2026.111.07:29:00/wx/-4.80,555.0,46.3,3.76,329,1.36
2026.111.07:30:00/wx/-5.00,555.0,46.2,3.64,331,1.36
