--------------------------------
Started at UT 2015y008d03h51m25s
Elapsed      Time Interval
Time / s          / s
--------------------------------
1           8.465615572e-01
62          8.465615607e-01
123         8.465615627e-01
184         8.465615617e-01
245         8.465615642e-01
306         8.465615657e-01
367         8.465615602e-01
428         8.465615637e-01
489         8.465615602e-01
550         8.465615607e-01
611         8.465615587e-01
672         8.465615652e-01
733         8.465615622e-01
794         8.465615607e-01
855         8.465615622e-01
916         8.465615612e-01
977         8.465615602e-01
1038        8.465615602e-01
1099        8.465615562e-01
1160        8.465615557e-01
1221        8.465615547e-01
1282        8.465615602e-01
1343        8.465615587e-01
1404        8.465615572e-01
1465        8.465615632e-01
1526        8.465615562e-01
1587        8.465615562e-01
1648        8.465615567e-01
1709        8.465615552e-01
1770        8.465615532e-01
1831        8.465615572e-01
1892        8.465615542e-01
1953        8.465615597e-01
2014        8.465615477e-01
2075        8.465615567e-01
2136        8.465615537e-01
2197        8.465615512e-01
2258        8.465615482e-01
2319        8.465615487e-01
2380        8.465615487e-01
2441        8.465615477e-01
2502        8.465615492e-01
2563        8.465615472e-01
2624        8.465615457e-01
2685        8.465615492e-01
2746        8.465615482e-01
2807        8.465615477e-01
2868        8.465615467e-01
2929        8.465615507e-01
2990        8.465615457e-01
3051        8.465615512e-01
3112        8.465615467e-01
3173        8.465615467e-01
3234        8.465615522e-01
3295        8.465615477e-01
3356        8.465615472e-01
3417        8.465615462e-01
3478        8.465615452e-01
3539        8.465615492e-01
3600        8.465615452e-01
3661        8.465615472e-01
3722        8.465615462e-01
3783        8.465615472e-01
3844        8.465615467e-01
3905        8.465615462e-01
3966        8.465615482e-01
4027        8.465615452e-01
4088        8.465615447e-01
4149        8.465615492e-01
4210        8.465615487e-01
4271        8.465615527e-01
4332        8.465615527e-01
4393        8.465615532e-01
4454        8.465615522e-01
4515        8.465615442e-01
4576        8.465615482e-01
4637        8.465615502e-01
4698        8.465615452e-01
4759        8.465615452e-01
4820        8.465615412e-01
4881        8.465615422e-01
4942        8.465615427e-01
5003        8.465615452e-01
5064        8.465615467e-01
5125        8.465615487e-01
5186        8.465615502e-01
5247        8.465615442e-01
5308        8.465615477e-01
5369        8.465615442e-01
5430        8.465615472e-01
5491        8.465615407e-01
5552        8.465615412e-01
5613        8.465615437e-01
5674        8.465615407e-01
5735        8.465615442e-01
5796        8.465615437e-01
5857        8.465615422e-01
5918        8.465615442e-01
5979        8.465615427e-01
6040        8.465615442e-01
6101        8.465615427e-01
6162        8.465615432e-01
6223        8.465615442e-01
6284        8.465615437e-01
6345        8.465615447e-01
6406        8.465615462e-01
6467        8.465615417e-01
6528        8.465615437e-01
6589        8.465615437e-01
6650        8.465615412e-01
6711        8.465615412e-01
6772        8.465615422e-01
6833        8.465615447e-01
6894        8.465615422e-01
6955        8.465615437e-01
7016        8.465615402e-01
7077        8.465615402e-01
7138        8.465615427e-01
7199        8.465615427e-01
7260        8.465615492e-01
7321        8.465615467e-01
7382        8.465615442e-01
7443        8.465615462e-01
7504        8.465615387e-01
7565        8.465615382e-01
7626        8.465615397e-01
7687        8.465615432e-01
7748        8.465615402e-01
7809        8.465615407e-01
7870        8.465615427e-01
7931        8.465615412e-01
7992        8.465615432e-01
8053        8.465615367e-01
8114        8.465615382e-01
8175        8.465615417e-01
8236        8.465615367e-01
8297        8.465615417e-01
8358        8.465615432e-01
8419        8.465615437e-01
8480        8.465615402e-01
8541        8.465615412e-01
8602        8.465615372e-01
8663        8.465615357e-01
8724        8.465615382e-01
8785        8.465615372e-01
8846        8.465615352e-01
8907        8.465615367e-01
8968        8.465615382e-01
9029        8.465615347e-01
9090        8.465615362e-01
9151        8.465615402e-01
9212        8.465615392e-01
9273        8.465615347e-01
9334        8.465615352e-01
9395        8.465615397e-01
9456        8.465615407e-01
9517        8.465615442e-01
9578        8.465615432e-01
9639        8.465615382e-01
9700        8.465615387e-01
9761        8.465615362e-01
9822        8.465615317e-01
9883        8.465615342e-01
9944        8.465615312e-01
10005       8.465615372e-01
10066       8.465615357e-01
10127       8.465615362e-01
10188       8.465615317e-01
10249       8.465615327e-01
10310       8.465615352e-01
10371       8.465615377e-01
10432       8.465615352e-01
10493       8.465615332e-01
10554       8.465615352e-01
10615       8.465615332e-01
10676       8.465615332e-01
10737       8.465615332e-01
10798       8.465615337e-01
10859       8.465615357e-01
10920       8.465615322e-01
10981       8.465615322e-01
11042       8.465615357e-01
11103       8.465615287e-01
11164       8.465615352e-01
11225       8.465615332e-01
11286       8.465615337e-01
11347       8.465615352e-01
11408       8.465615427e-01
11469       8.465615397e-01
11530       8.465615367e-01
11591       8.465615357e-01
11652       8.465615362e-01
11713       8.465615352e-01
11774       8.465615312e-01
11835       8.465615347e-01
11896       8.465615372e-01
11957       8.465615362e-01
12018       8.465615362e-01
12079       8.465615352e-01
12140       8.465615347e-01
12201       8.465615337e-01
12262       8.465615332e-01
12323       8.465615302e-01
12384       8.465615332e-01
12445       8.465615292e-01
12506       8.465615277e-01
12567       8.465615287e-01
12628       8.465615297e-01
12689       8.465615287e-01
12750       8.465615312e-01
12811       8.465615327e-01
12872       8.465615297e-01
12933       8.465615237e-01
12994       8.465615242e-01
13055       8.465615242e-01
13116       8.465615247e-01
13177       8.465615247e-01
13238       8.465615252e-01
13299       8.465615222e-01
13360       8.465615307e-01
13421       8.465615267e-01
13482       8.465615262e-01
13543       8.465615242e-01
13604       8.465615242e-01
13665       8.465615192e-01
13726       8.465615242e-01
13787       8.465615237e-01
13848       8.465615187e-01
13909       8.465615257e-01
13970       8.465615232e-01
14031       8.465615217e-01
14092       8.465615227e-01
14153       8.465615247e-01
14214       8.465615237e-01
14275       8.465615247e-01
14336       8.465615202e-01
14397       8.465615227e-01
14458       8.465615217e-01
14519       8.465615217e-01
14580       8.465615217e-01
14641       8.465615207e-01
14702       8.465615227e-01
14763       8.465615162e-01
14824       8.465615232e-01
14885       8.465615207e-01
14946       8.465615252e-01
15007       8.465615232e-01
15068       8.465615207e-01
15129       8.465615227e-01
15190       8.465615222e-01
15251       8.465615272e-01
15312       8.465615257e-01
15373       8.465615252e-01
15434       8.465615272e-01
15495       8.465615247e-01
15556       8.465615327e-01
15617       8.465615272e-01
15678       8.465615262e-01
15739       8.465615272e-01
15800       8.465615252e-01
15861       8.465615237e-01
15922       8.465615232e-01
15983       8.465615222e-01
16044       8.465615232e-01
16105       8.465615212e-01
16166       8.465615282e-01
16227       8.465615252e-01
16288       8.465615202e-01
16349       8.465615242e-01
16410       8.465615192e-01
16471       8.465615207e-01
16532       8.465615227e-01
16593       8.465615247e-01
16654       8.465615207e-01
16715       8.465615207e-01
16776       8.465615197e-01
16837       8.465615247e-01
16898       8.465615257e-01
16959       8.465615212e-01
17020       8.465615222e-01
17081       8.465615237e-01
17142       8.465615227e-01
17203       8.465615232e-01
17264       8.465615242e-01
17325       8.465615257e-01
17386       8.465615242e-01
17447       8.465615257e-01
17508       8.465615257e-01
17569       8.465615257e-01
17630       8.465615267e-01
17691       8.465615282e-01
17752       8.465615247e-01
17813       8.465615232e-01
17874       8.465615212e-01
17935       8.465615242e-01
17996       8.465615187e-01
18057       8.465615177e-01
18118       8.465615207e-01
18179       8.465615192e-01
18240       8.465615167e-01
18301       8.465615182e-01
18362       8.465615182e-01
18423       8.465615192e-01
18484       8.465615197e-01
18545       8.465615167e-01
18606       8.465615187e-01
18667       8.465615197e-01
18728       8.465615207e-01
18789       8.465615172e-01
18850       8.465615152e-01
18911       8.465615192e-01
18972       8.465615182e-01
19033       8.465615192e-01
19094       8.465615192e-01
19155       8.465615152e-01
19216       8.465615227e-01
19277       8.465615187e-01
19338       8.465615197e-01
19399       8.465615192e-01
19460       8.465615172e-01
19521       8.465615197e-01
19582       8.465615177e-01
19643       8.465615212e-01
19704       8.465615187e-01
19765       8.465615172e-01
19826       8.465615172e-01
19887       8.465615207e-01
19948       8.465615212e-01
20009       8.465615197e-01
20070       8.465615192e-01
20131       8.465615197e-01
20192       8.465615172e-01
20253       8.465615152e-01
20314       8.465615132e-01
20375       8.465615142e-01
20436       8.465615182e-01
20497       8.465615172e-01
20558       8.465615162e-01
20619       8.465615182e-01
20680       8.465615187e-01
20741       8.465615152e-01
20802       8.465615137e-01
20863       8.465615147e-01
20924       8.465615162e-01
20985       8.465615152e-01
21046       8.465615172e-01
21107       8.465615137e-01
21168       8.465615182e-01
21229       8.465615157e-01
21290       8.465615227e-01
21351       8.465615187e-01
21412       8.465615167e-01
21473       8.465615167e-01
21534       8.465615157e-01
21595       8.465615157e-01
21656       8.465615157e-01
21717       8.465615157e-01
21778       8.465615172e-01
21839       8.465615177e-01
21900       8.465615147e-01
21961       8.465615112e-01
22022       8.465615197e-01
22083       8.465615082e-01
22144       8.465615132e-01
22205       8.465615122e-01
22266       8.465615127e-01
22327       8.465615147e-01
22388       8.465615142e-01
22449       8.465615082e-01
22510       8.465615072e-01
22571       8.465615082e-01
22632       8.465615092e-01
22693       8.465615127e-01
22754       8.465615117e-01
22815       8.465615117e-01
22876       8.465615047e-01
22937       8.465615012e-01
22998       8.465615142e-01
23059       8.465615117e-01
23120       8.465615042e-01
23181       8.465615027e-01
23242       8.465615117e-01
23303       8.465615032e-01
23364       8.465615087e-01
23425       8.465615102e-01
23486       8.465615172e-01
23547       8.465615082e-01
23608       8.465615032e-01
23669       8.465614992e-01
23730       8.465614997e-01
23791       8.465614987e-01
23852       8.465615012e-01
23913       8.465615002e-01
23974       8.465615002e-01
24035       8.465615002e-01
24096       8.465615007e-01
24157       8.465614982e-01
